Sail Number,Name,Speed (kts),Runs
47,Stacey Vass,27.708,23
11,Tony Morris,26.177,18
9,Mike Pearce,24.909,20
584,Jean Bernard Cunin,24.273,14
17,James Paine,24.059,10
905,Steve Cole,23.581,12
5,Kevin Hall,22.515,8
171,Sean Carroll,22.230,11
111,Nick Povey,21.922,11
6,Mike Hodge,20.944,6
71,Sean Carroll,19.828,1
333,Phil Hayward,19.554,8
101,Torix Bennett,19.315,6
100,Harvey Bowden,18.488,4
18,Alan Blundell,17.681,8
1,John Montgomery,17.180,14
33,Chris Evans,16.849,11
30,Keith Dunstan,15.865,18
458,Bob Date,11.923,5
10,Fred Ball,11.322,28
8,Marie Elphage,8.432,3
98,Neils Haarbosch,7.506,5
