Date,Time,Sail Number,Speed (kts),Wind Speed,Gust Speed,Ratio
1998-10-09,12:57:36,10,6.872,12.00,0.00,0.573
1998-10-09,13:02:18,10,5.356,10.00,0.00,0.536
1998-10-09,13:05:40,10,9.428,12.00,0.00,0.786
1998-10-09,13:09:43,10,6.267,9.00,0.00,0.696
1998-10-09,13:13:22,10,7.872,12.00,0.00,0.656
1998-10-09,13:18:19,10,5.430,10.00,0.00,0.543
1998-10-09,13:27:11,10,4.439,10.00,0.00,0.444
1998-10-09,13:32:34,458,5.030,8.00,0.00,0.629
1998-10-09,13:34:45,10,7.644,10.00,0.00,0.764
1998-10-09,13:39:32,10,5.381,9.00,0.00,0.598
1998-10-09,13:39:46,458,5.308,11.00,0.00,0.483
1998-10-09,13:43:13,10,8.800,12.00,0.00,0.733
1998-10-09,13:44:43,138,3.811,9.00,0.00,0.423
1998-10-09,13:45:13,458,9.729,14.00,0.00,0.695
1998-10-09,13:46:39,10,7.110,10.00,0.00,0.711
1998-10-09,13:51:02,458,6.366,12.00,0.00,0.530
1998-10-09,13:53:46,27,6.069,10.00,0.00,0.607
1998-10-09,13:54:14,138,7.768,9.00,0.00,0.863
1998-10-09,13:56:41,9,8.262,12.00,0.00,0.688
1998-10-09,13:57:01,458,8.151,11.00,0.00,0.741
1998-10-09,13:58:34,27,4.480,13.00,0.00,0.345
1998-10-09,14:04:03,458,5.723,12.00,0.00,0.477
1998-10-09,14:04:53,9,2.702,10.00,0.00,0.270
1998-10-09,14:06:55,30,7.605,11.00,0.00,0.691
1998-10-09,14:10:42,30,8.092,12.00,0.00,0.674
1998-10-09,14:11:08,458,5.793,10.00,0.00,0.579
1998-10-09,14:12:36,9,17.452,11.00,0.00,1.587
1998-10-09,14:14:29,27,7.331,12.00,0.00,0.611
1998-10-09,14:17:20,458,6.951,14.00,0.00,0.497
1998-10-09,14:17:48,711,16.310,13.00,0.00,1.255
1998-10-09,14:18:49,27,6.309,12.00,0.00,0.526
1998-10-09,14:18:55,30,10.965,13.00,0.00,0.843
1998-10-09,14:20:30,9,8.744,11.00,0.00,0.795
1998-10-09,14:24:28,711,18.057,11.00,0.00,1.642
1998-10-09,14:24:45,458,5.179,12.00,0.00,0.432
1998-10-09,14:25:30,138,4.266,11.00,0.00,0.388
1998-10-09,14:28:01,27,8.714,12.00,0.00,0.726
1998-10-09,14:31:34,711,16.508,12.00,0.00,1.376
1998-10-09,14:32:27,27,6.564,12.00,0.00,0.547
