Sail Number,Craft Type,Name,Speed (kts),Runs
47,Sailboard,Stacey Vass,31.001,26
181,Sailboard,Peter Martin,28.814,6
150,Sailboard,Matthew Spooner,28.677,17
9,Sailboard,Mike Pearce,27.202,14
27,Sailboard,Trevor Whatford,26.798,9
124,Sailboard,Richard Trubger,26.058,12
171,Sailboard,Sean Carroll,25.503,6
46,Boat,E.H.S.,24.429,18
111,Boat,Nick Povey,23.504,2
101,Boat,Torix Bennett,23.228,6
2,Sailboard,Robin Ball,20.524,1
55,Boat,Yellow Rave,20.501,4
15,Boat,Harvey Bowden,19.737,9
18,Boat,Alan Blundell,19.522,6
1,Boat,Jon Montgomery,15.186,9
79,Boat,Slade Penoyre,12.991,5
13,Boat,John Peperell,11.017,4
444,Boat,Brian Storm,7.852,5
10,Boat,Fred Ball,2.775,1
