Date,Time,Sail Number,Speed (kts),Wind Speed,Seconds,Ratio
1999-10-08,11:14:01,1,14.605,16.00,68.55,0.913
1999-10-08,11:24:08,13,11.252,16.00,88.98,0.703
1999-10-08,11:46:33,30,11.905,14.00,84.09,0.850
1999-10-08,11:47:33,47,24.833,20.00,40.32,1.242
1999-10-08,11:52:27,30,11.238,19.00,89.09,0.591
1999-10-08,11:52:35,27,22.066,15.00,45.37,1.471
1999-10-08,11:53:29,47,25.746,16.00,38.89,1.609
1999-10-08,12:00:32,27,19.536,16.00,51.25,1.221
1999-10-08,12:02:48,197,14.263,13.00,70.20,1.097
1999-10-08,12:03:10,9,23.073,14.00,43.39,1.648
1999-10-08,12:04:41,30,7.268,16.00,137.75,0.454
1999-10-08,12:05:45,2,21.169,16.00,47.29,1.323
1999-10-08,12:06:51,27,22.229,16.00,45.04,1.389
1999-10-08,12:07:06,47,24.370,13.00,41.08,1.875
1999-10-08,12:08:40,197,17.923,16.00,55.86,1.120
1999-10-08,12:08:46,46,18.011,15.00,55.59,1.201
1999-10-08,12:09:04,101,18.656,18.00,53.66,1.036
1999-10-08,12:10:19,2,22.337,18.00,44.82,1.241
1999-10-08,12:12:46,46,22.476,19.00,44.54,1.183
1999-10-08,12:13:53,17,25.246,17.00,39.66,1.485
1999-10-08,12:14:10,197,22.013,18.00,45.48,1.223
1999-10-08,12:14:20,171,22.955,15.00,43.61,1.530
1999-10-08,12:14:46,27,22.929,15.00,43.66,1.529
1999-10-08,12:18:09,30,10.856,18.00,92.22,0.603
1999-10-08,12:18:19,9,24.174,19.00,41.41,1.272
1999-10-08,12:18:29,17,24.303,20.00,41.20,1.215
1999-10-08,12:20:16,2,22.365,17.00,44.77,1.316
1999-10-08,12:20:38,27,23.641,19.00,42.35,1.244
1999-10-08,12:21:25,171,24.335,14.00,41.14,1.738
1999-10-08,12:21:37,197,25.039,12.00,39.98,2.087
1999-10-08,12:22:35,9,24.335,15.00,41.14,1.622
1999-10-08,12:23:01,47,27.205,16.00,36.80,1.700
1999-10-08,12:23:44,46,20.208,20.00,49.54,1.010
1999-10-08,12:24:34,2,22.095,15.00,45.31,1.473
1999-10-08,12:26:27,101,16.246,18.00,61.63,0.903
1999-10-08,12:27:13,197,22.671,15.00,44.16,1.511
1999-10-08,12:27:19,30,11.308,16.00,88.54,0.707
1999-10-08,12:28:51,47,23.641,20.00,42.35,1.182
1999-10-08,12:28:58,46,18.676,17.00,53.61,1.099
1999-10-08,12:30:35,13,11.357,12.00,88.16,0.946
1999-10-08,12:33:44,101,18.811,17.00,53.22,1.107
1999-10-08,12:36:11,46,21.072,13.00,47.51,1.621
1999-10-08,12:37:16,2,19.834,16.00,50.48,1.240
1999-10-08,12:39:08,5,6.024,15.00,166.20,0.402
1999-10-08,12:39:47,101,19.599,16.00,51.08,1.225
1999-10-08,12:40:06,13,9.691,16.00,103.31,0.606
1999-10-08,12:42:05,46,20.163,15.00,49.65,1.344
1999-10-08,12:45:36,2,20.275,14.00,49.38,1.448
1999-10-08,12:45:59,101,21.419,15.00,46.74,1.428
1999-10-08,12:46:18,30,5.391,15.00,185.70,0.359
1999-10-08,12:47:02,47,24.367,17.00,41.09,1.433
1999-10-08,12:47:28,46,19.329,11.00,51.80,1.757
1999-10-08,12:47:42,17,22.898,14.00,43.72,1.636
1999-10-08,12:47:44,13,11.074,12.00,90.41,0.923
1999-10-08,12:48:01,197,21.883,14.00,45.75,1.563
1999-10-08,12:49:30,171,23.520,15.00,42.57,1.568
1999-10-08,12:49:58,9,1.816,13.00,551.23,0.140
1999-10-08,12:52:01,101,20.975,14.00,47.73,1.498
1999-10-08,12:52:58,46,19.986,14.00,50.09,1.428
1999-10-08,12:55:20,13,11.047,14.00,90.63,0.789
1999-10-08,12:55:25,30,9.533,15.00,105.02,0.636
1999-10-08,12:55:30,47,23.192,13.00,43.17,1.784
1999-10-08,12:57:14,2,20.141,17.00,49.71,1.185
1999-10-08,12:58:03,17,23.641,15.00,42.35,1.576
1999-10-08,12:59:05,171,22.175,13.00,45.15,1.706
1999-10-08,12:59:43,197,22.337,15.00,44.82,1.489
1999-10-08,13:01:36,13,11.952,19.00,83.76,0.629
1999-10-08,13:02:19,30,10.798,16.00,92.71,0.675
1999-10-08,13:02:30,2,20.433,17.00,49.00,1.202
1999-10-08,13:03:18,17,24.079,16.00,41.58,1.505
1999-10-08,13:07:06,47,1.466,14.00,682.78,0.105
1999-10-08,13:07:56,458,15.714,16.00,63.71,0.982
1999-10-08,13:10:49,11,0.149,13.00,%6739.4,0.011
1999-10-08,13:12:34,47,21.936,17.00,45.64,1.290
1999-10-08,13:16:02,458,15.369,14.00,65.14,1.098
1999-10-08,13:16:33,9,21.521,15.00,46.52,1.435
1999-10-08,13:17:51,46,19.964,12.00,50.15,1.664
1999-10-08,13:18:27,101,16.738,17.00,59.81,0.985
