Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,37.02,Sailboard,Richard Jones,4,213
2,33.30,Sailboard,Nick Beaney,31,381
3,31.52,Sailboard,Stephen Corps,9,15
4,31.43,Sailboard,Richard Ashenden,2,19
5,30.50,Sailboard,James Paine,3,17
6,30.17,Sailboard,Tony Morris,2,11
7,28.07,Sailboard,Pete Young,1,34
8,27.10,Sailboard,Mike Pearce,13,9
9,26.90,Sailboard,Trevor Whatford,5,27
10,26.73,Sailboard,Sean Carroll,2,171
11,26.46,Sailboard,Richard Trubger,7,124
12,26.35,Sailboard,Matthew Brown,3,3
13,25.50,Sailboard,Angus Hitchin,5,7
14,25.38,Sailboard,Bernard Merryweather,1,232
15,23.64,Sailboard,Robin Ball,1,12
16,22.78,Sailboard,Matt Spooner,2,150
17,22.64,Sailboard,Rob Gough,4,66
18,21.48,Sailboard,Les Paley,1,8
19,18.06,Sailboard,Roger Crabb,1,88
20,13.02,Boat,Alex Montgomery,3,1
