Date,Time,Sail Number,Speed (kts),Start Wind Speed,Finish Wind Speed,Ratio
2000-10-01,11:50:14,28,14.16,11.00,12.00,1.23
2000-10-01,11:53:16,28,9.44,15.00,13.00,0.67
2000-10-01,12:07:59,1,12.67,16.00,18.00,0.75
2000-10-01,12:08:45,28,16.69,18.00,14.00,1.04
2000-10-01,12:11:19,458,1.92,16.00,18.00,0.11
2000-10-01,12:13:37,28,15.66,15.00,14.00,1.08
2000-10-01,12:14:34,1,13.45,17.00,19.00,0.75
2000-10-01,12:17:31,101,10.11,16.00,15.00,0.65
2000-10-01,12:17:43,9,18.21,16.00,18.00,1.07
2000-10-01,12:17:50,458,11.83,19.00,18.00,0.64
2000-10-01,12:18:09,88,19.43,15.00,19.00,1.14
2000-10-01,12:21:11,88,16.52,16.00,15.00,1.07
2000-10-01,12:23:02,458,11.09,16.00,18.00,0.65
2000-10-01,12:23:06,9,18.08,18.00,15.00,1.10
2000-10-01,12:23:14,101,6.58,17.00,13.00,0.44
2000-10-01,12:23:23,17,1.58,18.00,12.00,0.11
2000-10-01,12:25:28,88,18.03,15.00,14.00,1.24
2000-10-01,12:26:01,9,20.74,15.00,14.00,1.43
2000-10-01,12:28:34,1,2.87,18.00,17.00,0.16
2000-10-01,12:29:03,28,16.92,14.00,17.00,1.09
2000-10-01,12:29:18,458,12.58,16.00,18.00,0.74
2000-10-01,12:32:10,9,3.10,19.00,19.00,0.16
2000-10-01,12:54:55,458,11.47,19.00,16.00,0.66
2000-10-01,12:56:09,13,11.28,17.00,14.00,0.73
2000-10-01,12:59:29,171,22.15,19.00,23.00,1.05
2000-10-01,13:00:15,213,4.30,15.00,19.00,0.25
2000-10-01,13:02:38,213,24.85,20.00,19.00,1.27
2000-10-01,13:05:12,458,13.01,21.00,18.00,0.67
2000-10-01,13:05:27,171,15.14,19.00,17.00,0.84
2000-10-01,13:06:59,213,24.65,12.00,18.00,1.64
2000-10-01,13:08:18,38,20.04,16.00,17.00,1.21
2000-10-01,13:11:31,458,13.10,18.00,20.00,0.69
2000-10-01,13:16:11,150,23.72,19.00,20.00,1.22
2000-10-01,13:16:26,171,23.22,20.00,18.00,1.22
2000-10-01,13:19:06,458,10.08,18.00,19.00,0.54
2000-10-01,13:19:28,38,21.76,20.00,16.00,1.21
2000-10-01,13:19:40,213,25.32,20.00,14.00,1.49
2000-10-01,13:21:18,13,13.64,20.00,17.00,0.74
2000-10-01,13:21:52,150,23.48,14.00,22.00,1.30
2000-10-01,13:22:28,171,22.71,18.00,18.00,1.26
2000-10-01,13:24:04,38,22.10,19.00,17.00,1.23
2000-10-01,13:26:19,27,17.85,18.00,18.00,0.99
2000-10-01,13:28:32,13,12.95,15.00,20.00,0.74
2000-10-01,13:29:12,3,22.28,17.00,20.00,1.20
2000-10-01,13:29:48,9,24.98,14.00,16.00,1.67
2000-10-01,13:30:51,79,7.76,17.00,21.00,0.41
2000-10-01,13:31:27,458,14.45,19.00,16.00,0.83
2000-10-01,13:31:29,27,21.66,20.00,16.00,1.20
2000-10-01,13:31:46,213,24.65,16.00,16.00,1.54
2000-10-01,13:32:14,99,10.56,17.00,18.00,0.60
2000-10-01,13:32:18,17,23.96,18.00,16.00,1.41
2000-10-01,13:34:39,3,23.57,19.00,21.00,1.18
2000-10-01,13:35:12,15,26.16,20.00,19.00,1.34
2000-10-01,13:35:36,9,24.49,18.00,20.00,1.29
2000-10-01,13:35:53,38,22.15,16.00,19.00,1.27
2000-10-01,13:37:57,79,10.01,14.00,16.00,0.67
2000-10-01,13:38:01,17,22.17,21.00,16.00,1.20
2000-10-01,13:39:01,150,23.77,17.00,17.00,1.40
2000-10-01,13:40:54,458,8.63,13.00,16.00,0.60
2000-10-01,13:42:05,27,20.91,18.00,22.00,1.05
2000-10-01,13:42:15,38,21.54,14.00,17.00,1.39
2000-10-01,13:42:24,17,23.99,16.00,21.00,1.30
2000-10-01,13:43:16,15,25.84,15.00,20.00,1.48
2000-10-01,13:44:25,79,11.26,21.00,19.00,0.56
2000-10-01,13:45:15,9,24.30,18.00,21.00,1.25
2000-10-01,13:46:49,17,23.99,19.00,15.00,1.41
2000-10-01,13:48:33,27,23.81,18.00,21.00,1.22
2000-10-01,13:49:05,11,24.78,19.00,20.00,1.27
2000-10-01,13:50:54,15,25.63,18.00,22.00,1.28
2000-10-01,13:51:25,17,23.90,16.00,21.00,1.29
2000-10-01,13:52:35,9,24.30,14.00,22.00,1.35
2000-10-01,13:53:34,27,22.31,18.00,18.00,1.24
2000-10-01,13:54:02,11,23.30,18.00,20.00,1.23
2000-10-01,13:56:39,9,23.96,16.00,20.00,1.33
2000-10-01,13:56:48,15,26.02,18.00,23.00,1.27
2000-10-01,13:59:10,11,24.65,17.00,17.00,1.45
2000-10-01,14:00:18,171,23.36,23.00,18.00,1.14
2000-10-01,14:00:48,38,1.86,20.00,21.00,0.09
2000-10-01,14:02:29,9,23.48,17.00,19.00,1.30
2000-10-01,14:02:53,18,13.92,16.00,19.00,0.80
2000-10-01,14:04:29,15,21.64,17.00,17.00,1.27
2000-10-01,14:05:06,124,22.09,14.00,18.00,1.38
2000-10-01,14:05:40,27,2.69,19.00,18.00,0.15
2000-10-01,14:06:54,11,24.30,14.00,23.00,1.31
2000-10-01,14:08:10,88,19.58,17.00,18.00,1.12
2000-10-01,14:08:49,9,23.07,16.00,21.00,1.25
2000-10-01,14:09:13,15,25.84,18.00,18.00,1.44
2000-10-01,14:09:48,171,23.90,17.00,20.00,1.29
2000-10-01,14:11:34,79,12.61,18.00,19.00,0.68
2000-10-01,14:12:58,27,22.66,18.00,22.00,1.13
2000-10-01,14:13:09,15,26.02,23.00,21.00,1.18
2000-10-01,14:15:08,171,22.15,14.00,21.00,1.27
2000-10-01,14:16:28,38,1.78,17.00,21.00,0.09
2000-10-01,14:17:08,79,12.47,18.00,21.00,0.64
2000-10-01,14:17:20,124,23.81,16.00,18.00,1.40
2000-10-01,14:17:39,88,23.22,15.00,20.00,1.33
2000-10-01,14:18:44,9,23.02,17.00,18.00,1.32
2000-10-01,14:19:24,15,24.30,16.00,18.00,1.43
2000-10-01,14:20:29,11,24.02,17.00,18.00,1.37
2000-10-01,14:20:57,213,22.93,17.00,19.00,1.27
2000-10-01,14:22:29,79,12.72,18.00,20.00,0.67
2000-10-01,14:22:54,9,22.63,17.00,18.00,1.29
2000-10-01,14:23:12,27,21.15,15.00,16.00,1.36
2000-10-01,14:23:31,124,21.41,19.00,19.00,1.13
2000-10-01,14:24:34,18,12.02,24.00,23.00,0.51
2000-10-01,14:27:48,79,12.36,16.00,19.00,0.71
2000-10-01,14:28:24,17,24.05,20.00,17.00,1.30
2000-10-01,14:28:50,9,22.44,18.00,21.00,1.15
2000-10-01,14:29:56,124,21.76,17.00,21.00,1.15
2000-10-01,14:32:06,171,19.26,18.00,17.00,1.10
2000-10-01,14:32:16,15,23.69,17.00,22.00,1.21
2000-10-01,14:33:01,79,12.95,17.00,20.00,0.70
2000-10-01,14:33:28,9,24.24,16.00,21.00,1.31
2000-10-01,14:34:42,11,25.11,22.00,20.00,1.20
2000-10-01,14:36:01,15,25.63,23.00,21.00,1.16
2000-10-01,14:36:37,38,23.69,18.00,20.00,1.25
2000-10-01,14:38:54,27,22.74,19.00,23.00,1.08
2000-10-01,14:39:05,17,25.84,21.00,20.00,1.26
2000-10-01,14:40:06,3,22.63,17.00,19.00,1.26
2000-10-01,14:40:23,15,26.53,18.00,20.00,1.40
2000-10-01,14:40:49,11,25.52,23.00,24.00,1.09
2000-10-01,14:41:37,150,22.99,16.00,21.00,1.24
2000-10-01,14:42:07,88,20.52,18.00,19.00,1.11
2000-10-01,14:44:28,17,26.35,19.00,20.00,1.35
2000-10-01,14:44:38,15,26.87,22.00,18.00,1.34
2000-10-01,14:44:49,27,22.60,16.00,20.00,1.26
2000-10-01,14:44:53,79,12.24,20.00,18.00,0.64
2000-10-01,14:45:42,11,25.45,18.00,17.00,1.45
2000-10-01,14:46:23,3,23.13,18.00,17.00,1.32
2000-10-01,14:48:04,150,25.15,17.00,20.00,1.36
2000-10-01,14:48:39,124,24.75,20.00,21.00,1.21
2000-10-01,14:49:18,27,22.55,18.00,20.00,1.19
2000-10-01,14:49:27,88,22.44,17.00,25.00,1.07
2000-10-01,14:49:39,17,25.98,18.00,25.00,1.21
2000-10-01,14:50:10,79,13.25,19.00,24.00,0.62
2000-10-01,14:50:38,11,25.84,20.00,20.00,1.29
2000-10-01,14:53:58,27,22.33,24.00,23.00,0.95
2000-10-01,14:55:20,15,26.42,17.00,18.00,1.51
2000-10-01,14:55:23,79,12.79,16.00,20.00,0.71
2000-10-01,14:57:36,124,23.27,22.00,19.00,1.14
2000-10-01,14:57:59,150,23.68,22.00,20.00,1.13
2000-10-01,14:58:26,12,23.22,23.00,20.00,1.08
2000-10-01,14:59:34,27,21.29,13.00,23.00,1.18
2000-10-01,15:00:11,11,24.98,17.00,23.00,1.25
2000-10-01,15:00:22,1,13.58,19.00,21.00,0.68
2000-10-01,15:01:58,88,21.86,16.00,21.00,1.18
2000-10-01,15:02:02,15,26.80,18.00,22.00,1.34
2000-10-01,15:03:31,150,24.72,18.00,18.00,1.37
2000-10-01,15:04:15,11,24.33,15.00,20.00,1.39
2000-10-01,15:04:25,501,13.13,20.00,17.00,0.71
2000-10-01,15:04:43,124,23.54,23.00,21.00,1.07
2000-10-01,15:06:00,181,25.01,24.00,21.00,1.11
2000-10-01,15:07:34,12,21.56,19.00,23.00,1.03
2000-10-01,15:10:20,15,6.68,23.00,19.00,0.32
2000-10-01,15:10:38,181,27.11,19.00,21.00,1.36
2000-10-01,15:12:45,1,12.96,22.00,22.00,0.59
2000-10-01,15:13:12,213,28.51,17.00,21.00,1.50
2000-10-01,15:14:18,181,27.03,23.00,20.00,1.26
2000-10-01,15:14:24,501,14.92,22.00,24.00,0.65
2000-10-01,15:14:44,15,25.35,20.00,25.00,1.13
2000-10-01,15:15:13,88,22.52,21.00,21.00,1.07
2000-10-01,15:17:22,12,22.52,16.00,21.00,1.22
2000-10-01,15:18:42,181,26.53,19.00,22.00,1.29
2000-10-01,15:21:06,1,6.98,18.00,19.00,0.38
2000-10-01,15:21:16,150,25.49,20.00,20.00,1.27
