Date,Time,Sail Number,Speed (kts),Start Wind Speed,Finish Wind Speed,Ratio
2000-10-02,10:54:25,15,28.86,18.00,19.00,1.56
2000-10-02,10:54:36,34,28.07,13.00,15.00,2.00
2000-10-02,10:59:00,15,30.67,20.00,16.00,1.70
2000-10-02,10:59:25,381,33.30,19.00,11.00,2.22
2000-10-02,11:00:47,7,20.39,17.00,23.00,1.02
2000-10-02,11:01:13,213,31.70,17.00,16.00,1.92
2000-10-02,11:03:05,381,26.54,0.00,0.00,
2000-10-02,11:05:07,15,30.42,0.00,0.00,
2000-10-02,11:07:10,213,37.03,0.00,0.00,
2000-10-02,11:10:37,19,31.44,0.00,0.00,
2000-10-02,11:11:28,381,30.59,0.00,0.00,
2000-10-02,11:24:44,12,23.65,17.00,15.00,1.48
2000-10-02,11:25:25,3,22.50,16.00,12.00,1.61
2000-10-02,11:25:57,381,30.34,25.00,17.00,1.44
2000-10-02,11:26:15,9,25.23,17.00,23.00,1.26
2000-10-02,11:27:05,17,30.50,25.00,30.00,1.11
2000-10-02,11:29:51,381,27.65,17.00,19.00,1.54
2000-10-02,11:30:38,3,23.16,22.00,18.00,1.16
2000-10-02,11:31:54,9,23.20,17.00,19.00,1.29
2000-10-02,11:32:29,17,27.18,18.00,15.00,1.65
2000-10-02,11:33:38,381,26.48,23.00,20.00,1.23
2000-10-02,11:34:16,15,28.86,16.00,19.00,1.65
2000-10-02,11:36:10,9,24.05,14.00,23.00,1.30
2000-10-02,11:37:36,381,28.78,21.00,13.00,1.69
2000-10-02,11:38:51,15,30.75,25.00,22.00,1.31
2000-10-02,11:41:11,381,29.70,21.00,27.00,1.24
2000-10-02,11:44:53,27,10.18,26.00,23.00,0.42
2000-10-02,11:45:35,15,31.09,22.00,16.00,1.64
2000-10-02,11:46:21,213,33.21,21.00,21.00,1.58
2000-10-02,11:47:05,381,31.18,23.00,21.00,1.42
2000-10-02,11:47:23,3,26.36,20.00,22.00,1.26
2000-10-02,11:49:12,15,28.71,14.00,18.00,1.79
2000-10-02,11:50:35,66,6.39,22.00,15.00,0.35
2000-10-02,11:51:17,381,31.35,18.00,21.00,1.61
2000-10-02,11:53:37,171,26.73,15.00,18.00,1.62
2000-10-02,11:54:41,15,31.52,16.00,21.00,1.70
2000-10-02,11:55:10,381,31.70,29.00,17.00,1.38
2000-10-02,11:56:28,213,30.67,17.00,21.00,1.61
2000-10-02,12:00:01,9,25.24,19.00,16.00,1.44
2000-10-02,12:01:57,66,22.65,15.00,16.00,1.46
2000-10-02,12:02:10,19,27.38,20.00,23.00,1.27
2000-10-02,12:02:47,171,23.25,12.00,13.00,1.86
2000-10-02,12:02:51,381,31.44,14.00,20.00,1.85
2000-10-02,12:07:19,381,26.11,18.00,16.00,1.54
2000-10-02,12:14:38,381,28.21,16.00,11.00,2.09
2000-10-02,12:21:24,9,25.01,24.00,21.00,1.11
2000-10-02,12:21:55,17,27.92,18.00,16.00,1.64
2000-10-02,12:23:12,15,21.52,17.00,19.00,1.20
2000-10-02,12:23:30,381,29.55,20.00,21.00,1.44
2000-10-02,12:25:56,9,23.49,17.00,19.00,1.31
2000-10-02,12:27:53,381,30.26,18.00,20.00,1.59
2000-10-02,12:31:36,381,29.70,18.00,22.00,1.49
2000-10-02,12:32:06,9,23.69,21.00,17.00,1.25
2000-10-02,12:35:52,381,26.61,14.00,23.00,1.44
