Rank,Speed (kts),Name,Runs,Sail Number
1,35.22,Nick Beaney,33,386
2,34.52,Stacey Vass,30,47
3,33.54,Jim Paine,22,17
4,33.38,Chris Calthrop,6,48
5,33.38,Richard Ashenden,19,19
6,32.92,Rob Gough,10,6
7,32.77,Angus Hitchen,15,7
8,32.46,Matthew Brown,17,3
9,32.02,Tony Morris,9,11
10,31.6,Pete Martin,17,181
11,31.45,Trevor Whatford,19,27
12,31.32,Richard Jones,4,213
13,30.64,Kim Newman,4,68
14,30.64,Sean Carroll,15,171
15,30.51,Robbie Brotherwood,24,4
16,29.99,Richard Trubger,23,124
17,29.36,Steve Somerfield,9,12
18,29.24,Mike Pearce,18,9
19,28.89,Les Paley,16,8
20,28.09,David Goodrich,22,197
21,26.51,Roger Crabb,8,88
22,26.02,Peter Watkinson,1,808
23,17.61,Alex Montgomery,7,1
