Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,28.52,Sailboard,Pete Martin,13,181
2,28.47,Sailboard,Angus Hitchen,5,7
3,28.43,Sailboard,James Paine,10,17
4,27.9,Sailboard,Tony Morris,12,11
5,27.71,Sailboard,Richard Ashenden,5,19
6,26.22,Sailboard,Paul Sleightholm,11,671
7,26.22,Sailboard,Rob Gough,7,6
8,26.15,Sailboard,Mike Pearce,19,9
9,26.15,Sailboard,David Goodrich,8,197
10,25.8,Sailboard,Ed Gollop,4,41
11,25.6,Sailboard,Sean Carroll,9,171
12,25.43,Sailboard,Roger Crabb,13,88
13,25.17,Sailboard,Richard Trubger,16,124
14,24.54,Sailboard,Robin Ball,17,2
15,24.36,Sailboard,Ian Hill,6,14
16,23.42,Sailboard,Les Paley,10,8
17,22.05,Kite Board,Andrew Macdonald,3,39
18,21.73,Sailboard,Peter Watkinson,3,808
19,21.7,Sailboard,Graham Holbert,5,5
20,21.47,Sailboard,Vanessa Miles,7,22
21,17.9,Boat,Alan Blundell,5,18
22,14.5,Boat,John Peperell,14,13
23,12.56,Boat,Fred Ball,1,10
24,11.86,Boat,Neils Haarbosch,2,444
25,6.24,,Jean Hurtado,2,81
