Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,25.83,Sailboard,Pete Martin,22,181
2,24.83,Sailboard,Sean Carroll,11,171
3,23.91,Sailboard,James Paine,17,17
4,23.67,Sailboard,Tony Morris,14,11
5,22.12,Sailboard,Nick Povey,12,111
6,22.05,Sailboard,Roger Crabb,10,88
7,21.51,Sailboard,Mike Pearce,8,9
8,21.19,Sailboard,Piere Saville,8,38
9,19.66,Sailboard,Les Paley,11,8
10,18.24,Sailboard,Graham Holbert,6,5
11,17.96,Sailboard,Peter Watkinson,4,808
12,13.01,Boat,Andy'S Hurricane (Catamaran),1,114
13,9.45,Boat,Fred Ball,4,10
14,9.07,Boat,Neils Haarbosch,3,444
15,6.68,Boat,John Perry,2,555
