Date,Time,Sail Number,Speed (kts),Start Wind Speed,Finish Wind Speed,Ratio
2001-10-01,12:33:29,17,10.05,29.00,19.00,0.42
2001-10-01,12:39:31,17,26.68,26.00,3.00,1.84
2001-10-01,12:44:55,1,13.28,21.00,21.00,0.63
2001-10-01,12:49:29,1,15.40,25.00,19.00,0.70
2001-10-01,12:55:59,1,10.35,24.00,25.00,0.42
2001-10-01,12:59:17,1,7.49,24.00,17.00,0.37
2001-10-01,13:01:43,1,15.36,27.00,21.00,0.64
2001-10-01,13:05:30,386,30.65,24.00,23.00,1.30
2001-10-01,13:09:59,386,16.27,21.00,24.00,0.72
2001-10-01,13:12:37,1,16.07,25.00,4.00,1.11
2001-10-01,13:13:50,386,28.85,23.00,7.00,1.92
2001-10-01,13:17:36,386,29.56,27.00,19.00,1.29
2001-10-01,13:18:27,1,15.26,30.00,3.00,0.92
2001-10-01,13:23:31,1,12.60,25.00,0.00,1.01
2001-10-01,13:28:06,1,15.52,24.00,5.00,1.07
2001-10-01,13:33:05,27,17.49,26.00,8.00,1.03
2001-10-01,13:36:10,1,4.75,26.00,1.00,0.35
2001-10-01,13:50:05,1,13.96,24.00,22.00,0.61
2001-10-01,13:54:14,1,14.32,23.00,21.00,0.65
