Date,Time,Sail Number,Speed (kts),Start Wind Speed,Finish Wind Speed,Ratio
2001-10-04,12:02:43,181,20.28,0.00,0.00,
2001-10-04,12:26:07,171,24.84,14.00,16.00,1.66
2001-10-04,12:32:49,171,24.33,19.00,10.00,1.68
2001-10-04,12:34:12,38,20.05,14.00,17.00,1.29
2001-10-04,12:39:45,171,23.21,18.00,13.00,1.50
2001-10-04,12:48:10,38,20.88,14.00,14.00,1.49
2001-10-04,12:58:07,8,11.70,17.00,15.00,0.73
2001-10-04,13:01:26,171,23.13,15.00,12.00,1.71
2001-10-04,13:03:23,8,19.66,15.00,10.00,1.57
2001-10-04,13:08:36,444,6.85,15.00,16.00,0.44
2001-10-04,13:15:53,8,17.43,13.00,10.00,1.52
2001-10-04,13:20:31,8,16.58,15.00,16.00,1.07
2001-10-04,13:21:26,17,15.29,17.00,13.00,1.02
2001-10-04,13:24:50,8,16.58,15.00,13.00,1.18
2001-10-04,13:25:21,444,3.52,12.00,17.00,0.24
2001-10-04,13:28:08,5,0.23,18.00,13.00,0.02
2001-10-04,13:28:28,171,22.33,17.00,13.00,1.49
2001-10-04,13:29:04,8,15.84,11.00,14.00,1.27
2001-10-04,13:32:17,111,16.54,12.00,19.00,1.07
2001-10-04,13:33:04,17,18.24,15.00,14.00,1.26
2001-10-04,13:36:10,111,18.93,18.00,17.00,1.08
2001-10-04,13:36:40,8,18.34,18.00,12.00,1.22
2001-10-04,13:37:12,17,21.58,15.00,13.00,1.54
2001-10-04,13:40:58,111,19.50,14.00,17.00,1.26
2001-10-04,13:41:04,8,17.22,15.00,11.00,1.32
2001-10-04,13:41:47,17,21.13,13.00,16.00,1.46
2001-10-04,13:45:11,8,17.35,15.00,14.00,1.20
2001-10-04,13:45:31,171,22.05,13.00,9.00,2.00
2001-10-04,13:46:14,111,19.18,17.00,17.00,1.13
2001-10-04,13:51:08,8,15.84,14.00,12.00,1.22
2001-10-04,13:51:32,17,21.78,13.00,14.00,1.61
2001-10-04,13:51:57,111,22.12,16.00,14.00,1.47
2001-10-04,13:54:11,5,18.24,12.00,11.00,1.59
2001-10-04,13:56:01,111,21.26,19.00,17.00,1.18
2001-10-04,13:58:11,5,15.77,15.00,13.00,1.13
2001-10-04,14:09:43,444,9.07,18.00,13.00,0.59
2001-10-04,14:12:34,38,7.30,11.00,20.00,0.47
2001-10-04,14:12:59,8,9.78,13.00,15.00,0.70
2001-10-04,14:15:20,5,14.90,11.00,16.00,1.10
2001-10-04,14:17:22,88,11.03,13.00,11.00,0.92
2001-10-04,14:21:24,17,23.92,17.00,15.00,1.49
2001-10-04,14:22:49,5,14.27,13.00,15.00,1.02
2001-10-04,14:24:23,111,20.76,13.00,13.00,1.60
2001-10-04,14:26:20,181,24.16,21.00,13.00,1.42
2001-10-04,14:27:26,17,23.28,14.00,16.00,1.55
2001-10-04,14:28:09,38,20.23,16.00,16.00,1.26
2001-10-04,14:28:47,111,19.39,15.00,14.00,1.34
2001-10-04,14:29:24,181,25.84,16.00,14.00,1.72
2001-10-04,14:32:40,181,21.32,13.00,18.00,1.38
2001-10-04,14:34:03,88,22.05,14.00,18.00,1.38
2001-10-04,14:35:20,111,20.40,19.00,16.00,1.17
2001-10-04,14:37:45,88,20.40,14.00,15.00,1.41
2001-10-04,14:39:47,17,23.36,13.00,12.00,1.87
2001-10-04,14:40:17,181,22.98,13.00,10.00,2.00
2001-10-04,14:44:21,181,21.98,14.00,14.00,1.57
2001-10-04,14:47:21,181,23.75,13.00,15.00,1.70
2001-10-04,14:48:31,114,13.01,9.00,17.00,1.00
2001-10-04,14:49:38,181,22.54,16.00,15.00,1.45
2001-10-04,14:52:59,181,22.76,12.00,16.00,1.63
2001-10-04,14:53:46,38,18.83,11.00,15.00,1.45
2001-10-04,14:57:35,555,2.97,16.00,17.00,0.18
2001-10-04,14:59:32,181,10.69,70.00,12.00,0.26
2001-10-04,15:00:43,111,18.93,18.00,14.00,1.18
2001-10-04,15:00:48,17,22.05,15.00,13.00,1.58
2001-10-04,15:02:16,181,20.76,19.00,17.00,1.15
2001-10-04,15:03:02,88,19.45,18.00,14.00,1.22
2001-10-04,15:03:51,17,19.94,13.00,18.00,1.29
2001-10-04,15:04:17,11,21.00,16.00,14.00,1.40
2001-10-04,15:07:27,171,22.40,15.00,12.00,1.66
2001-10-04,15:08:34,17,21.91,11.00,15.00,1.69
2001-10-04,15:08:53,181,24.16,13.00,12.00,1.93
2001-10-04,15:11:39,10,8.27,18.00,11.00,0.57
2001-10-04,15:12:52,11,23.68,14.00,19.00,1.43
2001-10-04,15:14:11,181,23.21,16.00,13.00,1.60
2001-10-04,15:15:03,17,23.68,13.00,14.00,1.75
2001-10-04,15:15:40,171,21.39,11.00,14.00,1.71
2001-10-04,15:19:48,10,7.57,18.00,14.00,0.47
2001-10-04,15:21:00,11,19.94,14.00,13.00,1.48
2001-10-04,15:22:47,88,19.24,12.00,14.00,1.48
2001-10-04,15:23:19,555,6.68,12.00,12.00,0.56
2001-10-04,15:23:47,111,21.91,16.00,14.00,1.46
2001-10-04,15:24:19,17,23.92,14.00,15.00,1.65
2001-10-04,15:24:55,171,24.58,18.00,17.00,1.40
2001-10-04,15:28:42,9,21.26,11.00,13.00,1.77
2001-10-04,15:29:26,10,8.15,11.00,14.00,0.65
2001-10-04,15:29:55,181,24.24,19.00,12.00,1.56
2001-10-04,15:31:00,17,22.26,15.00,15.00,1.48
2001-10-04,15:32:03,38,21.19,15.00,15.00,1.41
2001-10-04,15:32:30,9,21.52,13.00,13.00,1.66
2001-10-04,15:32:51,88,21.65,14.00,16.00,1.44
2001-10-04,15:33:18,181,25.28,12.00,11.00,2.20
2001-10-04,15:33:27,171,23.75,19.00,14.00,1.44
2001-10-04,15:34:18,11,20.05,17.00,18.00,1.15
2001-10-04,15:35:24,17,20.64,16.00,16.00,1.29
2001-10-04,15:36:24,9,19.61,13.00,17.00,1.31
2001-10-04,15:37:19,88,13.75,11.00,17.00,0.98
2001-10-04,15:38:21,17,21.91,17.00,15.00,1.37
2001-10-04,15:39:12,11,20.40,15.00,15.00,1.36
2001-10-04,15:40:18,5,15.39,10.00,14.00,1.28
2001-10-04,15:40:42,181,23.28,15.00,12.00,1.72
2001-10-04,15:41:36,88,19.34,16.00,14.00,1.29
2001-10-04,15:42:28,10,9.45,13.00,18.00,0.61
2001-10-04,15:42:39,171,22.98,16.00,16.00,1.44
2001-10-04,15:42:54,38,18.98,16.00,16.00,1.19
2001-10-04,15:43:21,17,20.11,14.00,11.00,1.61
2001-10-04,15:43:49,11,19.29,11.00,20.00,1.24
2001-10-04,15:52:09,11,20.34,13.00,11.00,1.70
2001-10-04,15:53:07,181,22.40,17.00,16.00,1.36
2001-10-04,15:53:59,88,17.06,13.00,12.00,1.36
2001-10-04,15:54:43,9,18.10,12.00,11.00,1.57
2001-10-04,15:55:12,11,20.46,15.00,18.00,1.24
2001-10-04,15:56:48,181,23.06,21.00,14.00,1.32
2001-10-04,15:59:21,11,19.29,17.00,13.00,1.29
2001-10-04,15:59:49,808,17.97,14.00,17.00,1.16
2001-10-04,16:04:15,11,17.65,15.00,10.00,1.41
2001-10-04,16:07:07,808,17.43,14.00,13.00,1.29
2001-10-04,16:07:27,88,17.10,12.00,12.00,1.42
2001-10-04,16:08:28,38,10.33,16.00,10.00,0.79
2001-10-04,16:16:46,9,16.16,11.00,11.00,1.47
2001-10-04,16:17:05,111,16.31,11.00,11.00,1.48
2001-10-04,16:17:24,11,15.69,10.00,13.00,1.36
2001-10-04,16:18:32,808,15.80,11.00,13.00,1.32
2001-10-04,16:22:06,11,15.69,16.00,17.00,0.95
2001-10-04,16:23:01,181,21.51,14.00,11.00,1.72
2001-10-04,16:25:32,9,16.39,11.00,16.00,1.21
2001-10-04,16:26:20,181,21.78,11.00,15.00,1.68
2001-10-04,16:26:52,11,16.89,15.00,13.00,1.21
2001-10-04,16:28:07,808,17.70,14.00,14.00,1.26
2001-10-04,16:29:15,181,18.48,17.00,13.00,1.23
2001-10-04,16:31:36,9,16.24,14.00,14.00,1.16
2001-10-04,16:34:55,11,18.24,10.00,13.00,1.59
2001-10-04,16:35:49,9,15.49,12.00,17.00,1.07
2001-10-04,16:36:21,181,17.88,14.00,16.00,1.19
