Date,Time,Sail Number,Speed (kts),Start Wind Speed,Finish Wind Speed,Ratio
2003-10-10,12:15:04,24,28.22,0.00,0.00,
2003-10-10,12:21:48,24,30.03,0.00,0.00,
2003-10-10,12:29:15,24,25.46,0.00,0.00,
2003-10-10,12:33:44,24,27.61,0.00,0.00,
2003-10-10,13:07:18,26,24.97,0.00,0.00,
2003-10-10,13:14:38,2,24.12,0.00,0.00,
2003-10-10,13:17:18,24,27.21,0.00,0.00,
2003-10-10,13:20:40,24,15.37,0.00,0.00,
2003-10-10,13:20:55,2,26.68,0.00,0.00,
2003-10-10,13:22:22,24,27.14,0.00,0.00,
2003-10-10,13:25:21,2,10.61,0.00,0.00,
2003-10-10,13:27:24,24,28.93,0.00,0.00,
2003-10-10,13:27:57,2,15.09,0.00,0.00,
2003-10-10,13:31:38,2,27.36,0.00,0.00,
2003-10-10,13:32:57,24,28.06,0.00,0.00,
2003-10-10,13:35:12,26,14.09,0.00,0.00,
2003-10-10,13:35:51,2,24.76,0.00,0.00,
2003-10-10,13:38:15,2,13.78,0.00,0.00,
2003-10-10,13:40:24,24,29.22,0.00,0.00,
2003-10-10,13:45:38,2,26.44,0.00,0.00,
2003-10-10,13:46:26,26,13.90,0.00,0.00,
2003-10-10,13:47:41,24,6.21,0.00,0.00,
2003-10-10,13:53:16,24,29.30,0.00,0.00,
2003-10-10,13:57:12,26,6.16,0.00,0.00,
2003-10-10,14:00:30,24,29.26,0.00,0.00,
2003-10-10,14:11:11,2,26.68,0.00,0.00,
2003-10-10,14:11:44,24,23.79,0.00,0.00,
2003-10-10,14:13:01,26,13.50,0.00,0.00,
2003-10-10,14:14:12,2,26.72,0.00,0.00,
2003-10-10,14:21:18,26,17.77,0.00,0.00,
2003-10-10,14:23:58,26,13.62,0.00,0.00,
2003-10-10,14:24:55,24,26.86,0.00,0.00,
2003-10-10,14:30:39,24,4.43,0.00,0.00,
2003-10-10,14:44:46,24,5.03,0.00,0.00,
2003-10-10,14:45:35,2,28.18,0.00,0.00,
2003-10-10,14:51:51,2,28.25,0.00,0.00,
2003-10-10,14:55:31,2,16.75,0.00,0.00,
2003-10-10,14:56:59,2,26.82,0.00,0.00,
2003-10-10,15:02:20,27,19.43,0.00,0.00,
2003-10-10,15:06:10,27,18.69,0.00,0.00,
2003-10-10,15:07:50,2,27.43,0.00,0.00,
2003-10-10,15:10:10,27,20.50,0.00,0.00,
2003-10-10,15:12:50,2,12.01,0.00,0.00,
2003-10-10,15:19:40,2,26.51,0.00,0.00,
2003-10-10,15:23:23,277,14.69,0.00,0.00,
2003-10-10,15:27:04,26,29.38,0.00,0.00,
2003-10-10,15:31:44,24,8.80,0.00,0.00,
2003-10-10,15:37:42,24,28.10,0.00,0.00,
2003-10-10,15:39:01,2,27.25,0.00,0.00,
2003-10-10,15:39:45,26,28.57,0.00,0.00,
2003-10-10,15:45:12,2,26.31,0.00,0.00,
2003-10-10,15:45:38,26,8.92,0.00,0.00,
2003-10-10,15:50:40,24,28.22,0.00,0.00,
2003-10-10,15:51:59,2,26.65,0.00,0.00,
2003-10-10,16:00:06,26,29.68,0.00,0.00,
2003-10-10,16:01:35,24,29.68,0.00,0.00,
2003-10-10,16:08:36,2,23.38,74.00,0.00,0.63
2003-10-10,16:11:08,26,25.17,0.00,0.00,
