First Name,Family Name,Sail Number,Craft Type,Description
Fred,Ball,10,Boat,Red Baron Kite Catamaran
Richard,Jenkins,50,Boat,Wind Jet
Paul/Malcolm,Larsen/Barnsley,70,Boat,Sail Rocket
Jean,Hurtado,81,Boat,Tribar
Torix,Bennett,101/121,Boat,10m Catamaran
Arthur,Lister,325,Boat,Foiled Catapult
John,Pepperel,510,Boat,Catapult
Neils,Haarbosch,907,Boat,Flaxcat
Neil,Peacock,602,Kite Board,
Tessa,Wilson,603,Kite Board,
Jeremy,Waitt,604,Kite Board,
Dean,Morgan,605,Kite Board,
Ian,Gray,610,Kite Board,
Paul,Bisset,613,Kite Board,
Stacey,Vass,617,Kite Board,
Richard,Gowers,619,Kite Board,
Richard,Trubger,622,Kite Board,
Jeremy,Hawkins,623,Kite Board,
Spencer,Whyte,625,Kite Board,
Steve,Davison,626,Kite Board,
Alex,Montgomery,1,Sailboard,
Wolfgang,Lewang,2,Sailboard,
Bjorn,Haacke,4,Sailboard,
Andrew,Blain,6,Sailboard,
Tristan,Drane,7,Sailboard,
Les,Paley,8,Sailboard,
Mike,Pearce,9,Sailboard,
Tony,Morris,11,Sailboard,
Ian,Hill,14,Sailboard,
Stephen,Corps,15,Sailboard,
Richard,Ashenden,19,Sailboard,
Mathew,Tarrier,21,Sailboard,
Barry,Mason,23,Sailboard,
Peter,D'Arcy,25,Sailboard,
Brian,Leake,26,Sailboard,
Trevor,Whatford,27,Sailboard,
Ian,Maitland,35,Sailboard,
Martin,Allman,36,Sailboard,
Pierre,Saville,38,Sailboard,
Simon,Hinkley,40,Sailboard,
Ed,Gollop,41,Sailboard,
John,Langdon,42,Sailboard,
Simon,Langley,43,Sailboard,
Steve,Davidson,44,Sailboard,
Simon,Hiscocks,49,Sailboard,
Clive,Ellis,51,Sailboard,
Dan,Ellis,52,Sailboard,
Richard,Holgate,53,Sailboard,
Declan,Hicks,54,Sailboard,
Claude,Van-Martyn,55,Sailboard,
Keith,Atkinson,56,Sailboard,
Stuart,Biggs,57,Sailboard,
Hans-Jürgen,Theinert,58,Sailboard,
Jim,Toms,59,Sailboard,
Duncan,Adam,63,Sailboard,
David,MacInnes,67,Sailboard,
Allan,Cross,68,Sailboard,
Dion,Hunt,71,Sailboard,
Pete,Davis,73,Sailboard,
Peter,Williams,74,Sailboard,
Robin,Penna,75,Sailboard,
Dave,MacInnes,76,Sailboard,
Amy,Carter,85,Sailboard,
Roger,Crabb,88,Sailboard,
Andrew,Ramshaw,90,Sailboard,
Michael,Seward,93,Sailboard,
Nik,Green,94,Sailboard,
Lucy,Horwood,95,Sailboard,
Paul,Simmons,110,Sailboard,
Eugen,Dunkerbeck,112,Sailboard,
Theo,Theinert,113,Sailboard,
Bjorn,Dunkerbeck,114,Sailboard,
Richard,Ashenden,117,Sailboard,
Nigel,Spriggs,118,Sailboard,
Richard,Trubger,124,Sailboard,
Daniel,Robinson,131,Sailboard,
Mathew,Spooner,150,Sailboard,
Sean,Carroll,171,Sailboard,
Zara,Davis,173,Sailboard,
John,Sanderson,180,Sailboard,
Pete,Martin,181,Sailboard,
Richard,Jones,213,Sailboard,
Paul,Foster,239,Sailboard,
Neil,Ellison,295,Sailboard,
Alastair,Williams,330,Sailboard,
Nick,Beaney,386,Sailboard,
Charles,Wilson,430,Sailboard,
Tim,Gulland,454,Sailboard,
Clyde,Waite,500,Sailboard,
Tim,Lawes,560,Sailboard,
Greg,Lewis,594,Sailboard,
Greg,Dunnett,631,Sailboard,
Guy,Cribb,632,Sailboard,
Eddie,Murrell,670,Sailboard,
Rob,Stack,777,Sailboard,
Peter,Watkinson,808,Sailboard,
