Name,Sail Number,Craft Type,Speed (kts)
Dan Ellis,52,Sailboard,28.76
John Sanderson,180,Sailboard,28.61
Keith Atkinson,56,Sailboard,28.21
David Garrel,22,Sailboard,28.21
Paul Simmons,131,Sailboard,26.48
Bob Cunningham,818,Sailboard,25.56
Gareth Baker,69,Sailboard,25.41
Tony Attfield,46,Sailboard,25.34
Nick Scott,55,Sailboard,25.30
Pete Davis,73,Sailboard,25.16
Tony Morris,604,Sailboard,25.09
Robin Penna,75,Sailboard,25.02
Paul Morris,111,Sailboard,24.94
James Paine,17,Sailboard,24.49
Mathew Burridge,666,Sailboard,24.06
Neil Hardwick,413,Sailboard,23.93
Zara Davis,731,Sailboard,23.80
Pete Martin,181,Sailboard,23.77
Allan Cross,68,Sailboard,23.70
Tony Ireland,480,Sailboard,23.55
Dave White,63,Sailboard,23.55
Mike Coombes,332,Sailboard,23.21
Amy Carter,85,Sailboard,23.12
Nigel Spriggs,118,Sailboard,22.96
Ian Hill,14,Sailboard,22.76
David Temple,77,Sailboard,22.53
Trevor Watford,27,Sailboard,22.39
Claude Van Martyn,555,Sailboard,22.31
Richard Holgate,53,Sailboard,22.28
Duncan Adam,863,Sailboard,22.22
David Barnard,28,Sailboard,22.03
Trevor Funnell,24,Sailboard,21.78
Stephen Corps,15,Sailboard,21.67
Sean Carroll,171,Sailboard,21.64
Mike Pearce,9,Sailboard,21.60
Eddie Murrell,670,Sailboard,21.36
David Goodrich,197,Sailboard,21.34
Anton Poll,72,Sailboard,21.00
Dion Hunt,71,Sailboard,20.49
Rob Stack,777,Sailboard,20.47
Thor Gustafsson,211,Sailboard,20.35
Ian Grounds,276,Sailboard,20.08
Simon Moore,751,Sailboard,19.78
Adrian Bugler,328,Sailboard,18.87
David Tuttlebee,888,Sailboard,18.77
Brian "Bruno" Warner,349,Sailboard,17.87
Peter Watkinson,808,Sailboard,17.04
Emile Burnaby Lautier,108,Boat,15.62
Jane Sanderson,297,Sailboard,14.44
Simon Hinkley,40,Sailboard,11.53
Andrew Penhaligon,119,Sailboard,9.46
John Morrish,80,Sailboard,9.42
Arthur Lister,325,Boat,2.53
