Sail Number,Name,Time,Wind Start,Wind Finish,Speed (kts)
8,Les Paley,15:30:50,8,10,15.51
8,Les Paley,15:15:07,8,8,15.2
12,Simon Burgess,15:32:02,12,13,18.05
12,Simon Burgess,16:11:15,11,10,18
12,Simon Burgess,15:37:40,16,6,17.23
14,Ian Hill,16:22:46,11,10,21.72
14,Ian Hill,15:25:42,13,11,21.09
14,Ian Hill,16:06:24,7,11,20.8
14,Ian Hill,15:30:20,10,10,20.11
14,Ian Hill,16:17:40,9,14,20.08
14,Ian Hill,15:15:53,13,12,19.9
14,Ian Hill,16:12:44,11,10,19.84
14,Ian Hill,16:27:14,9,14,19.8
14,Ian Hill,15:20:37,11,12,19.77
14,Ian Hill,15:45:06,11,8,19.48
14,Ian Hill,14:43:05,12,12,19.42
14,Ian Hill,15:34:49,13,10,19.05
14,Ian Hill,16:32:03,12,13,18.54
14,Ian Hill,15:56:11,12,13,17.79
23,Barry Mason,16:18:14,11,10,21.61
23,Barry Mason,14:30:49,13,8,19.5
23,Barry Mason,16:23:24,12,9,19.07
23,Barry Mason,16:13:07,10,8,19.07
23,Barry Mason,15:22:41,11,11,18.45
23,Barry Mason,15:16:55,12,8,17.99
23,Barry Mason,14:06:43,9,8,17.12
23,Barry Mason,14:22:35,6,11,16.51
23,Barry Mason,13:53:18,5,6,16.28
23,Barry Mason,14:12:48,11,6,15.33
33,Mark Hayford,16:23:09,8,11,20.91
33,Mark Hayford,15:42:44,13,12,20
33,Mark Hayford,14:33:49,10,12,19.98
33,Mark Hayford,15:31:26,9,9,19.71
33,Mark Hayford,15:55:41,9,12,19.32
33,Mark Hayford,16:27:36,10,11,19.22
33,Mark Hayford,16:31:46,8,10,18.81
33,Mark Hayford,16:02:18,13,11,18.26
33,Mark Hayford,16:08:31,12,10,18.15
44,David Strudwick,16:22:04,9,12,20.6
44,David Strudwick,14:37:39,7,13,19.84
44,David Strudwick,14:41:53,9,9,19.66
44,David Strudwick,14:33:07,9,10,19.28
44,David Strudwick,16:29:58,12,13,19.21
44,David Strudwick,16:05:48,12,11,18.83
44,David Strudwick,14:46:32,8,12,18.63
44,David Strudwick,14:28:58,8,11,18.52
44,David Strudwick,14:24:39,17,10,18.43
44,David Strudwick,16:13:31,10,8,18.09
44,David Strudwick,14:07:27,11,6,17.97
44,David Strudwick,14:19:14,9,10,17.67
44,David Strudwick,14:14:43,9,10,17.59
44,David Strudwick,13:58:55,11,9,16.24
51,Clive Ellis,15:37:55,8,8,18.34
51,Clive Ellis,15:28:12,13,7,17.71
51,Clive Ellis,16:23:31,9,9,16.81
51,Clive Ellis,16:18:09,12,14,0.52
53,Richard Holgate,15:25:35,12,11,18.41
53,Richard Holgate,15:41:55,13,6,16.93
66,Nick Brumfitt,14:36:39,13,8,19.9
66,Nick Brumfitt,15:28:20,10,9,19.74
66,Nick Brumfitt,14:40:23,12,14,19.7
66,Nick Brumfitt,15:23:26,10,10,19.28
66,Nick Brumfitt,14:46:45,10,9,19.07
66,Nick Brumfitt,14:19:47,8,8,18.81
66,Nick Brumfitt,14:32:48,11,10,18.79
66,Nick Brumfitt,15:34:15,11,10,18.61
66,Nick Brumfitt,15:41:42,12,7,18.19
66,Nick Brumfitt,15:56:08,16,13,18.14
66,Nick Brumfitt,16:14:00,12,10,17.89
66,Nick Brumfitt,16:32:12,9,12,17.17
66,Nick Brumfitt,15:46:48,12,8,17.12
71,Dion Hunt,16:23:06,14,11,21.35
71,Dion Hunt,16:15:40,13,12,19.11
133,Rupert Fisher,14:39:45,11,12,15.64
133,Rupert Fisher,14:29:07,11,13,14.86
151,Norman Betts,13:29:26,11,6,19.59
151,Norman Betts,15:26:58,11,8,19.24
151,Norman Betts,16:19:37,13,10,18.15
151,Norman Betts,15:20:19,11,10,17.95
151,Norman Betts,15:34:43,13,7,17.45
151,Norman Betts,16:15:12,10,11,17.37
151,Norman Betts,15:57:56,9,8,17.12
151,Norman Betts,16:08:56,8,13,17.08
151,Norman Betts,16:03:29,8,9,16.77
151,Norman Betts,15:40:03,8,9,15.92
151,Norman Betts,15:50:17,14,11,15.49
169,Austin Hind,16:16:39,14,14,20.17
169,Austin Hind,16:11:00,12,9,20
169,Austin Hind,15:27:45,10,12,19.84
169,Austin Hind,16:23:55,13,6,19.55
169,Austin Hind,15:22:17,9,8,19.28
169,Austin Hind,16:06:06,9,7,18.93
169,Austin Hind,16:01:16,13,10,18.92
169,Austin Hind,15:33:23,15,10,18.54
169,Austin Hind,16:20:21,9,10,18.26
169,Austin Hind,16:33:30,13,12,18.24
169,Austin Hind,16:27:45,9,13,17.93
169,Austin Hind,15:51:32,10,11,17.67
169,Austin Hind,15:17:08,12,9,17.28
169,Austin Hind,15:46:15,12,11,16.93
183,Ian Jones,14:40:27,8,15,22.03
183,Ian Jones,14:20:48,12,9,21.14
183,Ian Jones,14:46:02,12,13,20.38
183,Ian Jones,14:32:07,9,12,20.32
183,Ian Jones,14:28:20,9,14,20.3
183,Ian Jones,14:24:42,10,9,19.49
183,Ian Jones,14:16:46,12,10,18.49
188,Roger Crab,16:15:34,7,11,16.81
211,Jamie Walker,14:00:12,9,75,18.66
211,Jamie Walker,14:15:38,12,9,18.1
211,Jamie Walker,14:40:03,13,12,18
211,Jamie Walker,14:28:51,8,11,17.79
211,Jamie Walker,14:25:06,8,11,17.62
211,Jamie Walker,14:05:58,9,6,17.49
211,Jamie Walker,14:43:41,9,9,17.41
211,Jamie Walker,14:21:41,10,7,17.06
215,George Warren,16:22:57,10,8,19.67
215,George Warren,16:17:37,10,12,19.05
277,Kévin Gobin,14:26:52,8,10,12.68
277,Kévin Gobin,14:32:59,11,10,12.64
349,Brian Warner,14:37:08,11,9,18.17
349,Brian Warner,14:41:16,12,12,17.14
349,Brian Warner,15:30:40,9,11,15.69
349,Brian Warner,15:24:14,8,9,14.86
349,Brian Warner,15:37:33,9,6,14.19
349,Brian Warner,14:26:39,8,14,4.81
413,Neil Hardwick,16:24:07,10,14,19.57
413,Neil Hardwick,15:28:59,13,8,19.53
413,Neil Hardwick,16:30:47,9,14,18.94
413,Neil Hardwick,15:37:11,10,9,18.42
413,Neil Hardwick,15:23:11,12,11,18.14
413,Neil Hardwick,16:12:30,10,11,17.14
413,Neil Hardwick,15:57:40,0,6,16.74
440,James Grant,15:32:36,10,9,20.41
440,James Grant,15:43:54,9,13,20.36
440,James Grant,16:05:12,15,10,19.63
440,James Grant,16:13:16,10,6,19.34
440,James Grant,14:29:02,11,12,18.59
