Sail Number,Name,Time,Speed
5,Chris Cunningham,11:16:39,32.66
5,Chris Cunningham,16:04:08,31.64
5,Chris Cunningham,11:40:40,31.24
5,Chris Cunningham,11:45:56,30.8
5,Chris Cunningham,11:00:35,30.5
5,Chris Cunningham,14:06:05,30.2
5,Chris Cunningham,10:37:16,29.61
5,Chris Cunningham,15:57:33,29.56
5,Chris Cunningham,10:43:49,29.43
5,Chris Cunningham,11:08:35,29.38
5,Chris Cunningham,16:34:38,29.35
5,Chris Cunningham,11:36:37,28.85
5,Chris Cunningham,13:39:04,28.69
5,Chris Cunningham,17:00:12,28.65
5,Chris Cunningham,16:51:32,28.61
5,Chris Cunningham,16:43:54,28.56
5,Chris Cunningham,13:58:31,28.52
5,Chris Cunningham,13:27:42,28.52
5,Chris Cunningham,13:22:40,27.9
5,Chris Cunningham,11:50:23,27.86
5,Chris Cunningham,14:13:49,27.18
5,Chris Cunningham,11:23:14,26.26
5,Chris Cunningham,17:11:14,25.91
5,Chris Cunningham,14:43:45,25.5
5,Chris Cunningham,15:51:31,21.66
5,Chris Cunningham,10:54:20,2.63
8,les paley,14:29:25,4.98
11,Bjorn Dunkerbeck,10:58:14,36.51
11,Bjorn Dunkerbeck,16:05:03,35.83
11,Bjorn Dunkerbeck,16:09:17,35.69
11,Bjorn Dunkerbeck,11:03:25,35.69
11,Bjorn Dunkerbeck,16:57:35,34.61
11,Bjorn Dunkerbeck,11:41:14,34.06
11,Bjorn Dunkerbeck,11:33:47,33.7
11,Bjorn Dunkerbeck,16:43:40,33.7
11,Bjorn Dunkerbeck,16:47:16,33.66
11,Bjorn Dunkerbeck,14:10:24,33.57
11,Bjorn Dunkerbeck,16:32:56,33.53
11,Bjorn Dunkerbeck,10:52:50,33.46
11,Bjorn Dunkerbeck,16:37:09,33.42
11,Bjorn Dunkerbeck,15:59:36,32.39
11,Bjorn Dunkerbeck,14:16:37,32.25
11,Bjorn Dunkerbeck,11:49:10,32.02
11,Bjorn Dunkerbeck,17:11:58,31.92
11,Bjorn Dunkerbeck,13:28:31,31.77
11,Bjorn Dunkerbeck,13:21:30,31.4
11,Bjorn Dunkerbeck,17:07:13,31.2
11,Bjorn Dunkerbeck,17:03:13,31.2
11,Bjorn Dunkerbeck,14:24:05,30.74
11,Bjorn Dunkerbeck,13:35:46,29.55
11,Bjorn Dunkerbeck,14:01:56,28.36
11,Bjorn Dunkerbeck,14:42:14,23.77
11,Bjorn Dunkerbeck,16:26:20,21.95
12,Simon Burgess,10:51:22,29.2
12,Simon Burgess,11:04:44,29.02
12,Simon Burgess,10:41:31,28.34
12,Simon Burgess,16:07:24,27.78
12,Simon Burgess,11:41:37,27.42
12,Simon Burgess,13:43:52,26.53
12,Simon Burgess,11:50:07,26.4
12,Simon Burgess,13:55:51,26.06
12,Simon Burgess,14:24:54,25.98
12,Simon Burgess,13:23:38,25.88
12,Simon Burgess,13:34:06,25.81
12,Simon Burgess,14:32:15,25.4
12,Simon Burgess,11:28:25,25.26
12,Simon Burgess,13:13:54,22.51
13,Robert Munn,16:43:43,23.54
13,Robert Munn,16:16:10,22.6
14,Ian Hill,16:05:30,29.98
14,Ian Hill,17:08:45,28.27
14,Ian Hill,16:32:29,27.82
14,Ian Hill,16:54:57,27.47
14,Ian Hill,10:55:07,26.96
14,Ian Hill,16:47:00,26.12
14,Ian Hill,16:12:47,26.02
14,Ian Hill,16:42:01,24.88
14,Ian Hill,16:22:10,24.21
15,Torsten Niehaus,16:54:21,28.19
15,Torsten Niehaus,13:44:29,26.61
15,Torsten Niehaus,14:02:33,25.36
16,Mark Spreadbury,16:08:42,24.09
16,Mark Spreadbury,16:20:17,20.04
17,James Paine,11:16:11,32.61
17,James Paine,14:09:45,31.25
17,James Paine,11:04:11,30.36
17,James Paine,11:44:31,29.7
17,James Paine,13:31:54,28.96
17,James Paine,16:01:54,28.89
17,James Paine,13:41:20,28.44
17,James Paine,13:55:38,27.98
17,James Paine,16:51:07,27.78
17,James Paine,16:40:14,27.78
17,James Paine,17:09:00,27.54
17,James Paine,10:51:08,27.11
19,richard ashenden,11:01:23,30.79
19,richard ashenden,11:07:05,30.55
19,richard ashenden,11:24:57,30.26
19,richard ashenden,10:53:27,29.88
19,richard ashenden,11:39:13,29.65
19,richard ashenden,11:48:21,28.81
19,richard ashenden,13:27:54,28.11
19,richard ashenden,13:45:57,27.69
19,richard ashenden,13:36:02,27.45
19,richard ashenden,13:18:34,26.99
19,richard ashenden,16:51:03,26.97
19,richard ashenden,16:37:33,26.66
19,richard ashenden,16:17:07,24.37
22,Peter Cunningham,11:21:29,33.17
22,Peter Cunningham,11:10:01,31.13
22,Peter Cunningham,16:09:45,30.5
22,Peter Cunningham,16:00:08,30.36
22,Peter Cunningham,10:57:25,30.26
22,Peter Cunningham,14:03:55,30.25
22,Peter Cunningham,11:46:48,29.94
22,Peter Cunningham,16:52:41,29.89
22,Peter Cunningham,13:48:59,29.83
22,Peter Cunningham,13:40:38,29.14
22,Peter Cunningham,13:24:22,28.88
22,Peter Cunningham,13:31:30,28.83
22,Peter Cunningham,14:13:17,28.39
22,Peter Cunningham,16:45:05,28.31
22,Peter Cunningham,17:14:17,26.41
22,Peter Cunningham,14:43:20,24.17
23,Barry Mason,11:03:42,29.56
23,Barry Mason,10:48:34,28.6
23,Barry Mason,11:25:08,28.09
23,Barry Mason,11:43:35,24.8
26,Brian Leake,11:05:34,24.03
26,Brian Leake,10:47:30,22.16
26,Brian Leake,11:35:55,22.1
26,Brian Leake,10:53:21,22.08
26,Brian Leake,11:44:13,21.04
27,Trevor Whatford,15:54:06,29.12
27,Trevor Whatford,15:20:10,28.74
27,Trevor Whatford,14:15:06,27.57
27,Trevor Whatford,15:28:26,27.22
27,Trevor Whatford,16:46:26,26.85
27,Trevor Whatford,16:22:56,26.59
27,Trevor Whatford,17:02:14,26.16
27,Trevor Whatford,15:35:17,26.06
27,Trevor Whatford,17:10:16,25.88
29,Tony Robinson,11:15:26,32.29
29,Tony Robinson,11:01:53,31.13
29,Tony Robinson,11:24:42,29.98
29,Tony Robinson,16:02:21,29.7
29,Tony Robinson,10:45:49,29.16
29,Tony Robinson,16:55:20,29.08
29,Tony Robinson,16:11:18,28.81
29,Tony Robinson,14:17:45,28.74
29,Tony Robinson,16:33:52,28.65
29,Tony Robinson,13:30:24,28.35
29,Tony Robinson,11:36:11,28.1
29,Tony Robinson,14:41:30,27.78
29,Tony Robinson,14:32:30,27.49
29,Tony Robinson,13:39:36,27.49
29,Tony Robinson,14:24:29,27.33
29,Tony Robinson,13:19:06,27.33
29,Tony Robinson,17:02:47,26.85
29,Tony Robinson,16:19:49,25.5
30,Dave Standing,11:02:30,30.6
30,Dave Standing,11:15:49,30.21
30,Dave Standing,10:52:07,29.3
30,Dave Standing,10:36:56,28.98
30,Dave Standing,14:10:04,27.7
30,Dave Standing,14:19:07,27.18
30,Dave Standing,11:28:13,26.96
30,Dave Standing,15:21:44,26.57
30,Dave Standing,13:37:55,26.31
30,Dave Standing,16:01:14,26.22
30,Dave Standing,13:55:30,26.17
30,Dave Standing,13:46:44,26.13
30,Dave Standing,16:11:39,25.91
30,Dave Standing,14:25:45,25.63
30,Dave Standing,16:24:01,21.83
31,Paul Morris,11:15:15,31.39
31,Paul Morris,11:22:31,30.69
31,Paul Morris,10:36:29,30.45
31,Paul Morris,11:10:39,29.79
31,Paul Morris,14:20:14,29.5
31,Paul Morris,15:26:49,29.36
31,Paul Morris,15:58:03,29.2
31,Paul Morris,10:44:30,29.12
31,Paul Morris,13:41:33,29
31,Paul Morris,13:48:12,28.65
31,Paul Morris,14:03:12,28.36
31,Paul Morris,15:32:08,28.31
31,Paul Morris,13:26:41,28.31
31,Paul Morris,16:32:16,27.91
31,Paul Morris,16:52:54,27.78
31,Paul Morris,13:34:30,27.61
31,Paul Morris,15:39:05,27.42
31,Paul Morris,16:39:19,27.19
31,Paul Morris,13:54:43,27.18
31,Paul Morris,17:10:29,27.11
31,Paul Morris,14:30:32,26.94
31,Paul Morris,13:20:51,26.72
31,Paul Morris,17:01:34,26.7
31,Paul Morris,16:46:40,26.44
31,Paul Morris,17:05:57,25.91
31,Paul Morris,14:36:01,25.33
31,Paul Morris,16:17:11,25
31,Paul Morris,10:49:27,24.31
31,Paul Morris,15:52:39,22.16
37,Mark Ingram,11:18:48,28.26
37,Mark Ingram,11:42:57,27.97
37,Mark Ingram,14:09:16,27.85
37,Mark Ingram,11:13:49,27.7
37,Mark Ingram,14:22:10,26.72
37,Mark Ingram,13:41:51,26.65
37,Mark Ingram,14:40:31,26.46
37,Mark Ingram,13:48:48,26.13
37,Mark Ingram,13:32:45,26.13
37,Mark Ingram,13:58:18,25.88
37,Mark Ingram,13:25:20,25.71
37,Mark Ingram,14:31:38,25.36
37,Mark Ingram,13:17:54,25.06
