Sail Number,Start Time,Finish Time,Elapsed Time,Speed,Course Length,Course Angle,Title,First Name,Last Name,Craft,Master or Junior,Novice,Professional
11,15:19:59,15:20:38,38.3608,27.44,541,69,Mr,Bjorn,Dunkerbeck,Sailboard,Neither,No,Yes
11,15:32:35,15:33:14,38.979,27.01,541,69,Mr,Bjorn,Dunkerbeck,Sailboard,Neither,No,Yes
11,15:45:56,15:46:36,39.7095,26.51,541,69,Mr,Bjorn,Dunkerbeck,Sailboard,Neither,No,Yes
313,15:25:24,15:26:04,39.8417,26.42,541,69,Mr,john,benamati,Sailboard,Neither,No,Yes
11,15:50:03,15:50:44,40.6381,25.91,541,69,Mr,Bjorn,Dunkerbeck,Sailboard,Neither,No,Yes
157,15:26:42,15:27:22,40.7603,25.83,541,69,Mr,nigel,spriggs,Sailboard,Neither,No,No
14,15:35:16,15:35:57,41.1072,25.61,541,69,Mr,Ian,Hill,Sailboard,Neither,No,No
40,15:38:53,15:39:34,41.356,25.46,541,69,Mr,simon,Hinkley,Sailboard,Neither,No,Yes
11,14:49:51,14:50:32,41.4191,25.42,541,69,Mr,Bjorn,Dunkerbeck,Sailboard,Neither,No,Yes
11,15:03:58,15:04:39,41.6298,25.29,541,69,Mr,Bjorn,Dunkerbeck,Sailboard,Neither,No,Yes
75,15:36:41,15:37:23,41.7636,25.21,541,69,Mr,Robin,Penna,Sailboard,Master,No,No
113,14:42:13,14:42:55,41.9383,25.10,541,69,Mr,Theo,Theinert,Sailboard,Master,No,No
11,15:58:08,15:58:50,42.3034,24.89,541,69,Mr,Bjorn,Dunkerbeck,Sailboard,Neither,No,Yes
68,15:22:29,15:23:11,42.3367,24.87,541,69,Mr,Allan,Cross,Sailboard,Neither,No,Yes
40,15:19:37,15:20:20,42.4402,24.81,541,69,Mr,simon,Hinkley,Sailboard,Neither,No,Yes
131,15:16:54,15:17:36,42.7195,24.64,541,69,Mr,Paul,Simmons,Sailboard,Neither,No,Yes
604,15:42:37,15:43:20,42.7644,24.62,541,69,Mr,TONY,MORRIS,Sailboard,Neither,No,No
11,14:45:54,14:46:37,42.7703,24.61,541,69,Mr,Bjorn,Dunkerbeck,Sailboard,Neither,No,Yes
89,15:18:26,15:19:09,42.9279,24.52,541,69,Mr,Bob,Cunningham,Sailboard,Neither,No,Yes
157,15:40:55,15:41:38,42.9719,24.50,541,69,Mr,nigel,spriggs,Sailboard,Neither,No,No
157,15:33:13,15:33:56,42.9946,24.49,541,69,Mr,nigel,spriggs,Sailboard,Neither,No,No
157,15:15:30,15:16:13,43.0472,24.46,541,69,Mr,nigel,spriggs,Sailboard,Neither,No,No
313,15:20:14,15:20:57,43.0482,24.46,541,69,Mr,john,benamati,Sailboard,Neither,No,Yes
747,15:34:18,15:35:01,43.2108,24.36,541,69,Mr,Simon,White,Sailboard,Master,Yes,No
55,15:26:38,15:27:22,43.2173,24.36,541,69,Mr,Nick,Scott,Sailboard,Neither,No,Yes
75,15:29:16,15:29:59,43.3618,24.28,541,69,Mr,Robin,Penna,Sailboard,Master,No,No
40,14:45:06,14:45:50,43.4263,24.24,541,69,Mr,simon,Hinkley,Sailboard,Neither,No,Yes
180,15:49:14,15:49:58,43.5256,24.19,541,69,Mr,John,Sanderson,Sailboard,Neither,No,Yes
89,15:28:28,15:29:12,43.5457,24.18,541,69,Mr,Bob,Cunningham,Sailboard,Neither,No,Yes
