Sail Number,Title,First Name,Last Name,Craft,Master or Junior,Novice,Professional,Start Time,Finish Time,Elapsed Time,Speed (kts),Course Length,Course Angle
68,Mr,Allan,Cross,Sailboard,Neither,No,Yes,12:07:40,12:08:35,54.4562,19.33,541,69
21,Mr,Dan,Simpson,Sailboard,Neither,No,Yes,11:56:44,11:57:38,54.7664,19.22,541,69
747,Mr,Simon,White,Sailboard,Master,Yes,No,12:07:18,12:08:15,56.424,18.66,541,69
313,Mr,john,benamati,Sailboard,Neither,No,Yes,12:25:26,12:26:23,57.3711,18.35,541,69
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,12:13:16,12:14:13,57.4489,18.33,541,69
68,Mr,Allan,Cross,Sailboard,Neither,No,Yes,12:20:37,12:21:35,58.0901,18.12,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,11:30:37,11:31:36,58.3931,18.03,541,69
313,Mr,john,benamati,Sailboard,Neither,No,Yes,12:31:52,12:32:51,58.5401,17.98,541,69
68,Mr,Allan,Cross,Sailboard,Neither,No,Yes,12:15:20,12:16:19,58.7851,17.91,541,69
55,Mr,Nick,Scott,Sailboard,Neither,No,Yes,12:15:09,12:16:07,59.0889,17.82,541,69
55,Mr,Nick,Scott,Sailboard,Neither,No,Yes,12:30:32,12:31:31,59.1477,17.8,541,69
747,Mr,Simon,White,Sailboard,Master,Yes,No,11:59:52,12:00:51,59.5183,17.69,541,69
747,Mr,Simon,White,Sailboard,Master,Yes,No,12:15:40,12:16:40,59.641,17.65,541,69
413,Mr,Neil,Hardwick,Sailboard,Neither,No,No,11:26:13,11:27:13,60.0721,17.52,541,69
211,Mr,Jamie,Walker,Sailboard,Neither,No,No,12:10:14,12:11:16,61.2158,17.2,541,69
413,Mr,Neil,Hardwick,Sailboard,Neither,No,No,11:32:11,11:33:12,61.313,17.17,541,69
68,Mr,Allan,Cross,Sailboard,Neither,No,Yes,12:01:15,12:02:17,62.1582,16.94,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,12:10:41,12:11:44,62.4076,16.87,541,69
328,Mr,Adrian,Wallis,Sailboard,Master,No,No,11:37:57,11:39:00,63.1777,16.66,541,69
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,12:20:21,12:21:24,63.5712,16.56,541,69
68,Mr,Allan,Cross,Sailboard,Neither,No,Yes,12:29:20,12:30:24,64.1227,16.42,541,69
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,11:51:49,11:52:53,64.2521,16.38,541,69
55,Mr,Nick,Scott,Sailboard,Neither,No,Yes,12:04:50,12:05:55,64.3984,16.35,541,69
747,Mr,Simon,White,Sailboard,Master,Yes,No,12:29:02,12:30:07,64.5786,16.3,541,69
190,Mr,James,Grogono,Boat,Master,No,No,11:48:16,11:49:21,64.9873,16.2,541,69
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,11:44:49,11:45:55,66.2744,15.88,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,12:28:46,12:29:52,67.1141,15.69,541,69
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,12:29:51,12:30:58,67.2584,15.65,541,69
157,Mr,nigel,spriggs,Sailboard,Neither,No,No,11:58:40,11:59:48,67.797,15.53,541,69
413,Mr,Neil,Hardwick,Sailboard,Neither,No,No,11:52:35,11:53:43,67.8916,15.51,541,69
75,Mr,Robin,Penna,Sailboard,Master,No,No,12:09:23,12:10:33,70.4383,14.95,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,11:54:48,11:55:58,70.4916,14.93,541,69
343,Mr,Peter,Crook,Sailboard,Master,Yes,No,12:02:36,12:03:47,70.701,14.89,541,69
328,Mr,Adrian,Wallis,Sailboard,Master,No,No,12:17:57,12:19:08,71.0477,14.82,541,69
55,Mr,Nick,Scott,Sailboard,Neither,No,Yes,12:23:13,12:24:25,72.0485,14.61,541,69
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,12:00:58,12:02:10,72.6045,14.5,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,12:19:45,12:20:59,74.4074,14.15,541,69
328,Mr,Adrian,Wallis,Sailboard,Master,No,No,11:46:54,11:48:09,75.0255,14.03,541,69
157,Mr,nigel,spriggs,Sailboard,Neither,No,No,11:51:16,11:52:32,75.6582,13.91,541,69
211,Mr,Jamie,Walker,Sailboard,Neither,No,No,12:18:27,12:19:46,79.3665,13.26,541,69
53,Mr,Richard,Holgate,Sailboard,Neither,No,No,12:32:44,12:34:11,87.1599,12.08,541,69
598,Mr,Michael,Roberts,Sailboard,Master,No,No,11:51:33,11:53:25,111.453,9.446,541,69
328,Mr,Adrian,Wallis,Sailboard,Master,No,No,11:57:30,11:59:36,126.46,8.325,541,69
190,Mr,James,Grogono,Boat,Master,No,No,12:11:53,12:14:10,137.372,7.664,541,69
598,Mr,Michael,Roberts,Sailboard,Master,No,No,12:13:24,12:15:47,142.716,7.377,541,69
670,Mr,Eddie,Murrell,Sailboard,Master,No,No,12:12:38,12:15:38,179.214,5.874,541,69
413,Mr,Neil,Hardwick,Sailboard,Neither,No,No,11:39:16,11:42:55,218.73,4.813,541,69
676,Mr,Richard,Box,Sailboard,Master,Yes,No,12:16:53,12:20:32,219.081,4.805,541,69
237,Mr,John,Norman,Sailboard,Neither,Yes,No,11:27:45,11:31:26,221.416,4.755,541,69
559,Mr,Tony,Attfield,Sailboard,Neither,No,No,12:14:45,12:18:42,237.078,4.441,541,69
