Sail Number,Finish Time,Speed,Course Length,Course Angle,Title,First Name,Last Name,Craft
1,05/10/2008 09:24,34.57,544,110,Mr,Nick,Dempsey,Sailboard
1,05/10/2008 09:33,33.60,544,110,Mr,Nick,Dempsey,Sailboard
1,05/10/2008 09:28,32.22,544,110,Mr,Nick,Dempsey,Sailboard
1,05/10/2008 09:40,32.10,544,110,Mr,Nick,Dempsey,Sailboard
1,05/10/2008 10:01,30.28,544,110,Mr,Nick,Dempsey,Sailboard
1,05/10/2008 09:47,30.26,544,110,Mr,Nick,Dempsey,Sailboard
1,05/10/2008 10:11,28.65,544,110,Mr,Nick,Dempsey,Sailboard
1,05/10/2008 10:16,28.60,544,110,Mr,Nick,Dempsey,Sailboard
1,05/10/2008 10:05,27.34,544,110,Mr,Nick,Dempsey,Sailboard
1,05/10/2008 09:37,3.77,544,110,Mr,Nick,Dempsey,Sailboard
4,05/10/2008 09:43,32.36,544,110,Mr,ian,richards,Sailboard
4,05/10/2008 09:37,31.48,544,110,Mr,ian,richards,Sailboard
4,05/10/2008 09:58,31.25,544,110,Mr,ian,richards,Sailboard
4,05/10/2008 10:41,26.18,544,110,Mr,ian,richards,Sailboard
4,05/10/2008 10:50,25.74,544,110,Mr,ian,richards,Sailboard
4,05/10/2008 10:57,2.32,544,110,Mr,ian,richards,Sailboard
10,05/10/2008 09:27,35.40,544,110,Mr,Anders,Bringdal,Sailboard
10,05/10/2008 09:36,33.69,544,110,Mr,Anders,Bringdal,Sailboard
10,05/10/2008 09:59,32.49,544,110,Mr,Anders,Bringdal,Sailboard
13,05/10/2008 10:16,20.88,544,110,Mr,Robert,Munn,Sailboard
13,05/10/2008 10:39,18.67,544,110,Mr,Robert,Munn,Sailboard
13,05/10/2008 09:58,17.71,544,110,Mr,Robert,Munn,Sailboard
13,05/10/2008 10:07,3.82,544,110,Mr,Robert,Munn,Sailboard
14,05/10/2008 09:36,31.25,544,110,Mr,Ian,Hill,Sailboard
14,05/10/2008 09:41,31.25,544,110,Mr,Ian,Hill,Sailboard
14,05/10/2008 09:26,30.56,544,110,Mr,Ian,Hill,Sailboard
14,05/10/2008 09:48,28.24,544,110,Mr,Ian,Hill,Sailboard
14,05/10/2008 09:59,23.21,544,110,Mr,Ian,Hill,Sailboard
