Sail Number,Finish Time,Elapsed Time,Speed,First Name,Last Name,Craft
0,08/10/2008 15:59,86.7499,12.20,,,Bike
0,08/10/2008 15:49,129.166,8.20,,,Bike
3,08/10/2008 16:12,261.377,4.05,Mike,Walklin,Sailboard
3,08/10/2008 16:29,273.924,3.86,Mike,Walklin,Sailboard
3,08/10/2008 16:43,277.516,3.81,Mike,Walklin,Sailboard
7,08/10/2008 16:13,265.185,3.99,Fred,Ball,Boat
7,08/10/2008 16:26,1077.13,0.98,Fred,Ball,Boat
15,08/10/2008 16:02,284.022,3.73,Thorsten,Niehaus,Sailboard
15,08/10/2008 15:48,290.46,3.64,Thorsten,Niehaus,Sailboard
15,08/10/2008 15:31,297.245,3.56,Thorsten,Niehaus,Sailboard
15,08/10/2008 16:26,316.919,3.34,Thorsten,Niehaus,Sailboard
44,08/10/2008 16:37,226.999,4.66,Dave,Strudwick,Sailboard
81,08/10/2008 14:52,247.719,4.27,Roger,Dyer,Boat
83,08/10/2008 16:17,209.136,5.06,David,Tuttlebee,Sailboard
83,08/10/2008 15:58,226.078,4.68,David,Tuttlebee,Sailboard
83,08/10/2008 16:07,238.385,4.44,David,Tuttlebee,Sailboard
83,08/10/2008 16:37,240.197,4.41,David,Tuttlebee,Sailboard
83,08/10/2008 15:48,252.042,4.20,David,Tuttlebee,Sailboard
83,08/10/2008 16:59,326.422,3.24,David,Tuttlebee,Sailboard
83,08/10/2008 16:26,791.051,1.34,David,Tuttlebee,Sailboard
83,08/10/2008 16:48,889.059,1.19,David,Tuttlebee,Sailboard
98,08/10/2008 16:37,251.219,4.21,Neils,Haarbosch,Sailboard
98,08/10/2008 16:22,265.217,3.99,Neils,Haarbosch,Sailboard
98,08/10/2008 16:59,657.263,1.61,Neils,Haarbosch,Sailboard
602,08/10/2008 16:27,95.9761,11.03,Dave,White,Boat
602,08/10/2008 16:33,124.436,8.51,Dave,White,Boat
917,08/10/2008 15:57,273.518,3.87,Florian,Hildebrand,Sailboard
917,08/10/2008 15:29,277.158,3.82,Florian,Hildebrand,Sailboard
917,08/10/2008 16:09,284.259,3.72,Florian,Hildebrand,Sailboard
917,08/10/2008 16:26,301.434,3.51,Florian,Hildebrand,Sailboard
917,08/10/2008 15:43,305.386,3.47,Florian,Hildebrand,Sailboard
