Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Antony Baker,Men's Sailboard,Pro Fleet,26.91,25.47,26.19
2,Michael George,Men's Sailboard,Gold Fleet,25.33,24.32,24.83
3,Nigel Spriggs,Men's Sailboard,Gold Fleet,24.77,24.70,24.73
4,Ian Richards,Men's Sailboard,Gold Fleet,25.22,24.16,24.69
5,Adrian Wallis,Men's Sailboard,Gold Fleet,25.28,23.89,24.59
6,Paul Simmons,Men's Sailboard,Pro Fleet,24.44,23.81,24.12
7,Steve Jones,Men's Sailboard,Gold Fleet,23.84,23.20,23.52
8,Allan Cross,Men's Sailboard,Gold Fleet,22.82,22.72,22.77
9,Dave Strudwick,Men's Sailboard,Gold Fleet,23.58,21.55,22.57
10,Andrew Chandler,Men's Sailboard,Gold Fleet,22.21,22.20,22.21
11,Gavin Nicholson,Men's Sailboard,Amateur,22.25,21.98,22.11
12,Stephen Chatten,Men's Sailboard,Amateur,22.75,21.19,21.97
13,Christian Body,Men's Sailboard,Youth Fleet,21.73,21.73,21.73
14,Ryan Dunkling,Men's Sailboard,Youth Fleet,22.14,20.72,21.43
15,Nic Dodd,Men's Sailboard,Gold Fleet,21.44,21.19,21.31
16,Mark Collins,Men's Sailboard,Gold Fleet,23.01,18.85,20.93
17,Henry Bloodworth,Men's Sailboard,Youth Fleet,19.22,18.83,19.02
18,Martin Allman,Men's Sailboard,Amateur,17.54,16.93,17.23
