Place,HelmName,Fleet,Status
1,Kevin Greenslade,Men's Sailboard,Gold Fleet
2,Antony Baker,Men's Sailboard,Pro Fleet
3,Dave White,Men's Sailboard,Pro Fleet
4,Pete Young,Men's Sailboard,Gold Fleet
5,Jim Crossley,Men's Sailboard,Gold Fleet
6,Ian Richards,Men's Sailboard,Gold Fleet
7,Martyn Ogier,Men's Sailboard,Pro Fleet
8,Nigel Spriggs,Men's Sailboard,Gold Fleet
9,Tris Best,Men's Sailboard,Pro Fleet
10,Steve Jones,Men's Sailboard,Gold Fleet
11,Paul Simmons,Men's Sailboard,Pro Fleet
12,Adrian Wallis,Men's Sailboard,Gold Fleet
13,Michael George,Men's Sailboard,Gold Fleet
13,Simon Pettifer,Men's Sailboard,Gold Fleet
15,Jim Brooks-Dowsett,Men's Sailboard,Gold Fleet
16,Andrew Chandler,Men's Sailboard,Gold Fleet
17,Steve Giles,Men's Sailboard,Amateur
18,Pete Cunningham,Men's Sailboard,Gold Fleet
19,Matthew York,Men's Sailboard,Amateur
20,Allan Cross,Men's Sailboard,Gold Fleet
21,Richard Hobson,Men's Sailboard,Amateur
22,Dave Strudwick,Men's Sailboard,Gold Fleet
23,Nic Dodd,Men's Sailboard,Gold Fleet
24,Mark Collins,Men's Sailboard,Gold Fleet
25,Gavin Nicholson,Men's Sailboard,Amateur
26,Richard Lloyd,Men's Sailboard,Gold Fleet
27,Stephen Chatten,Men's Sailboard,Amateur
28,Eddie Murrell,Men's Sailboard,Gold Fleet
29,Neil Greentree,Men's Sailboard,Amateur
30,Trevor Funnell,Men's Sailboard,Amateur
31,Tim Tarrington,Men's Sailboard,Amateur
32,Martin Allman,Men's Sailboard,Amateur
