Place,HelmName,Fleet,Status
1,Antony Baker,Men,Pro Fleet
2,Ian Richards,Men,Gold Fleet
3,Torsten Mallon,Men,Gold Fleet
4,Markus Wilms,Men,Gold Fleet
5,Mark Collins,Men,Gold Fleet
5,Patrick Van Hoof,Men,Gold Fleet
7,Tris Best,Men,Pro Fleet
8,Steve Flanagan,Men,Gold Fleet
9,Allan Cross,Men,Gold Fleet
10,Dave Strudwick,Men,Gold Fleet
11,Michael George,Men,Gold Fleet
12,Adrian Wallis,Men,Gold Fleet
13,Andrew Chandler,Men,Gold Fleet
14,Jim Brooks-Dowsett,Men,Gold Fleet
15,Steve Jones,Men,Gold Fleet
16,Nic Dodd,Men,Gold Fleet
17,Gordon Roach,Men,Amateur
18,Stephen Chatten,Men,Amateur
19,Matthew York,Men,Amateur
20,Eddie Murrell,Men,Gold Fleet
21,Jamie Bambridge,Men,Amateur
22,Alex Burges,Men,Amateur
23,Thorsten Niehaus,Men,Pro Fleet
24,Gavin Nicholson,Men,Amateur
25,Neil Greentree,Men,Amateur
26,Martin Allman,Men,Amateur
27,Trevor Funnell,Men,Amateur
28,Michael Roberts,Men,Amateur
29,Manfred Fuchs,Men,Gold Fleet
30,Alastair Nichol,Men,Gold Fleet
