Place,Helmname,Fleet
1,Antony Baker,Men's Sailboard
2,Ian Richards,Men's Sailboard
3,Mark Collins,Men's Sailboard
4,Tris Best,Men's Sailboard
5,Allan Cross,Men's Sailboard
6,Dave Strudwick,Men's Sailboard
7,Michael George,Men's Sailboard
8,Adrian Wallis,Men's Sailboard
9,Andrew Chandler,Men's Sailboard
10,Jim Brooks-Dowsett,Men's Sailboard
11,Steve Jones,Men's Sailboard
12,Nic Dodd,Men's Sailboard
13,Gordon Roach,Men's Sailboard
14,Stephen Chatten,Men's Sailboard
15,Matthew York,Men's Sailboard
16,Eddie Murrell,Men's Sailboard
17,Jamie Bambridge,Men's Sailboard
18,Alex Burges,Men's Sailboard
19,Gavin Nicholson,Men's Sailboard
20,Neil Greentree,Men's Sailboard
21,Martin Allman,Men's Sailboard
22,Trevor Funnell,Men's Sailboard
23,Michael Roberts,Men's Sailboard
