Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Jim Crossley,Men's Sailboard,Gold Fleet,25.23,23.85,24.54
2,Jack Trollope,Men's Sailboard,Gold Fleet,23.63,23.36,23.49
3,Andy Holland,Men's Sailboard,Gold Fleet,21.85,19.79,20.82
4,Gavin Furmenger,Men's Sailboard,Amateur,21.11,19.67,20.39
5,Matthew Spooner,Men's Sailboard,Amateur,21.57,18.65,20.11
6,Adrian Wallis,Men's Sailboard,Gold Fleet,19.69,19.39,19.54
7,Tommy Walters,Men's Sailboard,Youth Fleet,18.66,18.43,18.54
8,Henry Bloodworth,Men's Sailboard,Youth Fleet,18.85,17.52,18.18
9,Simon Cofield,Men's Sailboard,Gold Fleet,22.54,,11.27
10,Tony Attfield,Men's Sailboard,Gold Fleet,21.84,,10.92
11,Mark Ingram,Men's Sailboard,Gold Fleet,19.20,,9.60
12,Tom Wells,Men's Sailboard,Youth Fleet,15.23,3.41,9.32
13,Nic Dodd,Men's Sailboard,Gold Fleet,13.81,,6.90
14,Ben Marshall,Men's Sailboard,Youth Fleet,4.01,,2.00
