Place,Helmname,Fleet
1,Kevin Greenslade,Men's Sailboard
2,Simon Pettifer,Men's Sailboard
3,Jim Crossley,Men's Sailboard
4,Keith Atkinson,Men's Sailboard
5,Sam Latham,Men's Sailboard
6,Allan Cross,Men's Sailboard
7,Matthew York,Men's Sailboard
8,Paul Morris,Men's Sailboard
9,Garry Connell,Men's Sailboard
10,Adrian Wallis,Men's Sailboard
11,Thomas Eskdale,Men's Sailboard
12,Russell Clark,Men's Sailboard
13,James Battye,Men's Sailboard
14,Dave Strudwick,Men's Sailboard
15,Matthew Spooner,Men's Sailboard
16,Mark Matthews,Men's Sailboard
17,Duncan Adam,Men's Sailboard
18,Gavin Nicholson,Men's Sailboard
19,Nic Dodd,Men's Sailboard
20,Peter Crosby,Men's Sailboard
21,Tim Gulland,Men's Sailboard
22,Richard Crosby,Men's Sailboard
23,Trevor Whatford,Men's Sailboard
24,Tom Joyce,Men's Sailboard
25,Mark Salvage,Men's Sailboard
