Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Simon Cofield,Men's Sailboard,Pro Fleet,31.37,31.24,31.30
2,Kevin Greenslade,Men's Sailboard,Pro Fleet,30.63,30.28,30.45
3,Jim Crossley,Men's Sailboard,Pro Fleet,29.83,29.82,29.83
4,Simon Pettifer,Men's Sailboard,Gold Fleet,29.57,29.55,29.56
5,Leigh Kingaby,Men's Sailboard,Pro Fleet,29.81,28.78,29.30
6,Nick Beaney,Men's Sailboard,Pro Fleet,28.74,28.24,28.49
7,Dave White,Men's Sailboard,Pro Fleet,27.79,27.67,27.73
8,Garry Connell,Men's Sailboard,Gold Fleet,27.89,27.50,27.70
9,James Battye,Men's Sailboard,Gold Fleet,27.68,27.62,27.66
10,Matthew York,Men's Sailboard,Gold Fleet,27.41,27.37,27.39
11,Tony Attfield,Men's Sailboard,Gold Fleet,26.96,26.91,26.94
12,Kacper Wozniak,Men's Sailboard,Gold Fleet,26.80,26.59,26.70
13,Mark Ingram,Men's Sailboard,Gold Fleet,26.84,26.18,26.51
14,Gavin Furmenger,Men's Sailboard,Gold Fleet,26.54,26.34,26.44
15,Simon Chippington,Men's Sailboard,Gold Fleet,26.87,25.40,26.13
15,George Fulton,Men's Sailboard,Amateur,26.26,26.01,26.13
17,Dave Strudwick,Men's Sailboard,Gold Fleet,26.16,25.43,25.79
18,Paul Sibley,Men's Sailboard,Gold Fleet,25.79,25.70,25.74
19,Shaun Cook,Men's Sailboard,Pro Fleet,25.52,25.20,25.36
20,Gavin Nicholson,Men's Sailboard,Gold Fleet,25.11,24.79,24.95
21,Nic Dodd,Men's Sailboard,Gold Fleet,23.52,23.48,23.50
22,Stephen Sugden,Men's Sailboard,Gold Fleet,23.33,20.97,22.15
23,Mark Salvage,Men's Sailboard,Amateur,19.14,17.96,18.55
24,Trevor Whatford,Men's Sailboard,Amateur,16.91,,8.46
