RaceNo,Name,Craft Type,Course,1st Run Speed (kts),2nd Run Speed (kts),2-Run Avg. Speed (kts),Points
1,Simon Pettifer,Sailboard,Harbour 1,33.129,33.051,33.09,1
1,Scotty Stallman,Sailboard,Harbour 1,32.54,32.309,32.424,2
1,James Battye,Sailboard,Harbour 1,32.003,31.669,31.836,3
1,Jim Crossley,Sailboard,Harbour 1,32.068,31.453,31.76,4
1,Paul Sibley,Sailboard,Harbour 1,31.404,29.645,30.524,5
1,Michael  George,Sailboard,Harbour 1,30.844,30.061,30.452,6
1,James Faley,Sailboard,Harbour 1,30.584,30.256,30.42,7
1,Tyler  Baker ,Sailboard,Harbour 1,29.901,29.046,29.474,8
1,Josh Lane,Sailboard,Harbour 1,29.454,28.937,29.196,9
1,Garry Connell,Sailboard,Harbour 1,29.177,28.833,29.005,10
1,Richard Crosby,Sailboard,Harbour 1,29.109,28.87,28.99,11
1,Jenna Gibson,Sailboard,Harbour 1,29.197,28.315,28.756,12
1,Adrian Wallis,Sailboard,Harbour 1,28.725,27.889,28.307,13
1,Peter Crosby,Sailboard,Harbour 1,27.801,27.619,27.71,14
1,Dave Strudwick,Sailboard,Harbour 1,26.742,26.737,26.74,15
1,Lewis Limm,Sailboard,Harbour 1,25.759,25.702,25.73,16
1,Matt Roche,Sailboard,Harbour 1,25.632,24.383,25.008,17
1,Spenser Arnold,Sailboard,Harbour 1,24.172,22.17,23.171,18
1,Harry Keenan,Sailboard,Harbour 1,22.56,22.53,22.545,19
1,Chris  Cleland ,Sailboard,Harbour 1,24.665,,12.332,20
