Place,HelmName,Fleet,Status
1,Jim Crossley,Men's Sailboard,Pro Fleet
2,James Battye,Men's Sailboard,Pro Fleet
3,Scotty Stallman,Men's Sailboard,Pro Fleet
4,Simon Pettifer,Men's Sailboard,Pro Fleet
5,Paul Sibley,Men's Sailboard,Gold Fleet
6,Garry Connell,Men's Sailboard,Gold Fleet
7,Will Trossell,Men's Sailboard,Gold Fleet
8,Shaun Cook,Men's Sailboard,Pro Fleet
9,Neven Juretic,Men's Sailboard,Amateur
10,Michael George,Men's Sailboard,Gold Fleet
11,Dave Strudwick,Men's Sailboard,Gold Fleet
12,Olly Wood,Men's Sailboard,Amateur
13,Adrian Wallis,Men's Sailboard,Gold Fleet
14,Simon Chippington,Men's Sailboard,Gold Fleet
15,Trevor Whatford,Men's Sailboard,Gold Fleet
16,Richard Crosby,Men's Sailboard,Amateur
