Place,HelmName,Fleet,Status
1,Scotty Stallman,Men's Sailboard,Pro Fleet
2,Simon Pettifer,Men's Sailboard,Pro Fleet
3,Michael George,Men's Sailboard,Pro Fleet
4,Scott Harrison,Men's Sailboard,Gold Fleet
5,George Fulton,Men's Sailboard,Gold Fleet
6,Russell Thompson,Men's Sailboard,Amateur
7,Zack Peaple,Men's Sailboard,Gold Fleet
8,Tim Bate,Men's Sailboard,Amateur
9,Dave Strudwick,Men's Sailboard,Gold Fleet
10,Andrew Twinn,Men's Sailboard,Gold Fleet
11,Joe Trunkfield,Men's Sailboard,Amateur
12,Matthew Lilley,Men's Sailboard,Amateur
13,Stuart Trunkfield,Men's Sailboard,Gold Fleet
14,Andy Stuart-William,Men's Sailboard,Gold Fleet
