Place,Helmname,Fleet
1,Scotty Stallman,Men's Sailboard
2,Simon Pettifer,Men's Sailboard
3,Jim Crossley,Men's Sailboard
4,Garry Connell,Men's Sailboard
5,Michael George,Men's Sailboard
6,Matthew York,Men's Sailboard
7,John Oliver,Men's Sailboard
8,Scott Norman,Men's Sailboard
9,James Brake,Men's Sailboard
10,George Fulton,Men's Sailboard
11,Andy Turvey,Men's Sailboard
12,Paul Arnold,Men's Sailboard
13,Maciej Bukolt,Men's Sailboard
14,Will Trossell,Men's Sailboard
15,Dave Strudwick,Men's Sailboard
16,Zack Peaple,Men's Sailboard
17,Stuart Trunkfield,Men's Sailboard
18,Scott Harrison,Men's Sailboard
19,Matthew Lilley,Men's Sailboard
20,Russell Thompson,Men's Sailboard
21,Neil Binding,Men's Sailboard
22,Joe Trunkfield,Men's Sailboard
23,Eddie Marsh,Men's Sailboard
24,Andy Stuart-William,Men's Sailboard
25,Trevor Whatford,Men's Sailboard
26,Andrew Twinn,Men's Sailboard
27,Tim Bate,Men's Sailboard
28,Andy Bridge,Men's Sailboard
