Entrant ID,Tally,Motion ID,Start Date,End Date,File ID,First Name,Family Name,Craft Type,Status,Entry Type
280,1,0,2024-10-12,2024-10-18,POV0NIC,Nick,Povey,Boat,Boat Fleet,All Week
3281,2,0,2024-10-12,2024-10-18,STA0JP,JP,Standish,Wingboard,Amateur,All Week
1282,3,0,2024-10-12,2024-10-18,OWE0AND,Andrew,Owen,Sailboard,Amateur,All Week
3283,4,0,2024-10-12,2024-10-18,HOB0RIC,Richard,Hobson,Wingboard,Pro-Fleet,All Week
3284,5,0,2024-10-12,2024-10-18,MIL0JEZ,Jez,Milne,Wingboard,Amateur,All Week
1285,6,0,2024-10-12,2024-10-18,GIB0JEN,Jenna,Gibson,Sailboard,Pro-Fleet,All Week
1286,7,0,2024-10-12,2024-10-18,PET0SIM,Simon,Pettifer,Sailboard,Pro-Fleet,All Week
1287,8,0,2024-10-12,2024-10-18,LIL0MAT,Matthew,Lilley,Sailboard,Amateur,All Week
1288,9,0,2024-10-14,2024-10-18,CHR0CHR,Chris,Chris Cleland,Sailboard,Amateur,2 Days
1289,10,0,2024-10-12,2024-10-18,THO0STE,Steve,Thompson,Sailboard,Amateur,All Week
1290,11,0,2024-10-12,2024-10-18,CRO0RIC,Richard,Crosby,Sailboard,Gold-Fleet,All Week
1292,13,0,2024-10-12,2024-10-18,BAR0ANT,Anthony,Barber,Sailboard,Gold-Fleet,All Week
1293,14,0,2024-10-12,2024-10-18,DEB0JEA,jean-marc,De Bruyne,Sailboard,Pro-Fleet,All Week
1294,15,0,2024-10-12,2024-10-18,MAI0ROB,Rob,Main,Sailboard,Amateur,All Week
1295,16,0,2024-10-12,2024-10-18,DUN0ROB,Robert,Dunn,Sailboard,Amateur,All Week
2296,17,0,2024-10-12,2024-10-18,BUR0EMI,Emile,Burnaby Lautier,Kiteboard,Open Class,All Week
1297,18,0,2024-10-12,2024-10-18,CRO0PET,Peter,Crosby,Sailboard,Gold-Fleet,All Week
1298,19,0,2024-10-12,2024-10-18,NIC0GAR,Gary,Nichols,Sailboard,Gold-Fleet,All Week
3298,19,0,2024-10-12,2024-10-18,NIC0GAR,Gary,Nichols,Wingboard,Amateur,All Week
1299,20,0,2024-10-12,2024-10-18,MAR0EDD,Eddie,Marsh,Sailboard,Gold-Fleet,All Week
